2023-12-06-14,2.333,2.333,2.333,2.333,6.2
2023-12-06-15,2.4,7.331,2.4,7.268,938.3
2023-12-06-16,7.292,7.365,7.247,7.281,621.5
2023-12-06-17,7.276,7.295,4.86,5.058,1077.1
2023-12-06-18,5.052,5.08,5.043,5.046,1024.7
2023-12-06-19,5.08,5.08,5.043,5.043,723.2
2023-12-06-20,5.058,5.154,5.058,5.13,837.6
2023-12-06-21,5.134,5.154,5.115,5.154,598.4
2023-12-06-22,5.154,5.212,5.153,5.177,974.6
2023-12-06-23,5.178,5.189,5.154,5.166,955.5
2023-12-07-00,5.181,5.189,5.154,5.177,827.6
2023-12-07-01,5.163,5.189,5.154,5.187,428.4
2023-12-07-02,5.164,5.35,5.154,5.35,826.3
2023-12-07-03,5.309,5.351,5.309,5.323,948.9
2023-12-07-04,5.318,5.351,5.309,5.309,778.4
2023-12-07-05,5.318,5.505,5.309,5.496,673.9
2023-12-07-06,5.489,5.829,5.462,5.817,593.0
2023-12-07-07,5.787,5.82,5.506,5.616,594.8
2023-12-07-08,5.603,5.621,5.601,5.609,714.6
2023-12-07-09,5.619,5.621,5.604,5.618,805.2
2023-12-07-10,5.607,5.627,5.604,5.615,616.9
2023-12-07-11,5.615,5.621,5.604,5.611,607.2
2023-12-07-12,5.617,5.621,5.604,5.612,619.8
2023-12-07-13,5.61,5.649,5.604,5.637,898.8
2023-12-07-14,5.62,5.65,5.606,5.612,602.6
2023-12-07-15,5.647,5.647,5.603,5.606,815.6
2023-12-07-16,5.61,5.786,5.603,5.741,802.7
2023-12-07-17,5.707,5.746,3.006,4.023,1618.0
2023-12-07-18,4.025,4.417,3.939,4.405,1090.0
2023-12-07-19,4.407,4.516,4.327,4.514,1024.0
2023-12-07-20,4.49,4.804,4.49,4.804,755.7
2023-12-07-21,4.809,4.881,4.806,4.881,588.5
2023-12-07-22,4.881,4.881,4.881,4.881,111.9
2023-12-07-23,4.881,4.881,4.881,4.881,805.9
2023-12-08-00,4.881,4.881,4.881,4.881,192.4
2023-12-08-01,4.882,4.897,4.882,4.894,368.5
2023-12-08-02,4.898,4.898,4.379,4.406,1411.2
2023-12-08-03,4.39,4.475,3.973,4.007,1376.4
2023-12-08-04,4.004,4.354,3.75,3.77,1372.0
2023-12-08-05,3.775,4.05,3.76,4.04,1109.2
2023-12-08-06,4.034,4.048,4.033,4.046,1041.3
2023-12-08-07,4.042,4.111,4.033,4.097,967.9
2023-12-08-08,4.103,4.111,4.084,4.106,867.2
2023-12-08-09,4.104,4.112,4.069,4.077,793.8
2023-12-08-10,4.067,4.094,4.067,4.083,926.3
2023-12-08-11,4.074,4.094,4.061,4.081,736.4
2023-12-08-12,4.076,4.109,4.067,4.109,1202.9
2023-12-08-13,4.105,4.109,4.013,4.049,1046.9
2023-12-08-14,4.052,4.094,4.033,4.064,715.6
2023-12-08-15,4.088,4.233,4.073,4.177,1158.9
2023-12-08-16,4.192,4.599,4.172,4.582,841.8
2023-12-08-17,4.587,4.604,4.2,4.258,849.0
2023-12-08-18,4.256,4.26,4.231,4.241,837.4
2023-12-08-19,4.231,4.258,4.219,4.231,935.0
2023-12-08-20,4.233,4.248,4.221,4.248,695.3
2023-12-08-21,4.235,4.247,4.219,4.226,813.7
2023-12-08-22,4.238,4.247,4.209,4.212,895.4
2023-12-08-23,4.215,4.236,4.208,4.216,772.3
2023-12-09-00,4.233,4.236,4.209,4.231,941.7
2023-12-09-01,4.232,4.236,4.208,4.208,1019.5
2023-12-09-02,4.232,4.236,4.208,4.229,778.1
2023-12-09-03,4.209,4.236,4.208,4.222,1016.4
2023-12-09-04,4.213,4.271,4.201,4.262,855.7
2023-12-09-05,4.243,4.27,4.241,4.256,963.0
2023-12-09-06,4.243,4.303,4.229,4.292,923.2
2023-12-09-07,4.289,4.303,4.288,4.299,990.7
2023-12-09-08,4.294,4.303,4.289,4.298,1362.7
2023-12-09-09,4.299,4.777,4.289,4.74,1325.8
2023-12-09-10,4.715,4.743,4.71,4.743,844.6
2023-12-09-11,4.756,5.039,4.756,5.004,749.1
2023-12-09-12,5.012,5.034,5.001,5.016,796.2
