2021-01-05-01,0.4558,0.48,0.4519,0.4717,145547.49
2021-01-05-02,0.4713,0.4741,0.4603,0.4662,80078.39
2021-01-05-03,0.4664,0.4691,0.4566,0.4571,40526.75
2021-01-05-04,0.4578,0.4601,0.4476,0.4485,71879.44
2021-01-05-05,0.4496,0.4517,0.446,0.4474,32854.55
2021-01-05-06,0.447,0.451,0.446,0.4488,31530.63
2021-01-05-07,0.4479,0.4553,0.4445,0.4549,78587.87
2021-01-05-08,0.455,0.465,0.4528,0.4575,96201.32
2021-01-05-09,0.4571,0.4603,0.45,0.45,78252.49
2021-01-05-10,0.4513,0.46,0.45,0.4587,47078.35
2021-01-05-11,0.4593,0.4685,0.4587,0.4674,102141.16
2021-01-05-12,0.467,0.4759,0.4618,0.4726,223902.7
2021-01-05-13,0.4725,0.4789,0.47,0.4742,83026.25
2021-01-05-14,0.4742,0.487,0.4742,0.4803,251229.62
2021-01-05-15,0.4804,0.499,0.4803,0.49,246562.17
2021-01-05-16,0.49,0.4962,0.4825,0.4952,109273.05
2021-01-05-17,0.4952,0.525,0.4876,0.5075,386262.19
2021-01-05-18,0.5062,0.5131,0.4989,0.5042,165535.53
2021-01-05-19,0.5047,0.5214,0.4797,0.48,443856.1
2021-01-05-20,0.4799,0.486,0.479,0.4825,88631.29
2021-01-05-21,0.4812,0.4868,0.479,0.4791,64232.29
2021-01-05-22,0.4792,0.4851,0.4785,0.4814,63821.84
2021-01-05-23,0.4824,0.4894,0.4805,0.4888,112390.89
2021-01-06-00,0.4883,0.4883,0.4804,0.485,33823.55
2021-01-06-01,0.4849,0.4964,0.4818,0.4964,83832.95
2021-01-06-02,0.496,0.5006,0.493,0.495,74330.74
2021-01-06-03,0.495,0.4958,0.4938,0.4943,30698.26
2021-01-06-04,0.4943,0.5288,0.4943,0.527,305507.13
2021-01-06-05,0.5272,0.5273,0.4951,0.5077,445175.57
2021-01-06-06,0.5077,0.5111,0.5,0.5055,138651.07
2021-01-06-07,0.5062,0.5344,0.5058,0.5264,279828.33
2021-01-06-08,0.5265,0.5404,0.4999,0.5154,572579.02
2021-01-06-09,0.5129,0.539,0.5129,0.53,199470.3
2021-01-06-10,0.53,0.5309,0.5167,0.5278,144893.54
2021-01-06-11,0.528,0.547,0.5257,0.5367,186325.6
2021-01-06-12,0.5368,0.5416,0.5321,0.5391,105851.66
2021-01-06-13,0.5392,0.54,0.5288,0.5323,191009.19
2021-01-06-14,0.5323,0.541,0.5285,0.5389,140410.01
2021-01-06-15,0.5389,0.5476,0.5332,0.5332,181927.48
2021-01-06-16,0.5331,0.5434,0.5331,0.5392,106605.85
2021-01-06-17,0.5393,0.556,0.5392,0.5524,302477.22
2021-01-06-18,0.5523,0.5635,0.552,0.5538,157770.75
2021-01-06-19,0.5545,0.5611,0.5404,0.5532,171137.91
2021-01-06-20,0.5536,0.56,0.5468,0.5468,106506.28
