2017-11-20-01,42.2,42.2,39,40.8,502.4
2017-11-20-02,40.8,40.8,40.8,40.8,0.0
2017-11-20-03,40.8,40.8,40.8,40.8,0.0
2017-11-20-04,40.8,40.8,40.8,40.8,0.0
2017-11-20-05,40.8,40.8,40.8,40.8,0.0
2017-11-20-06,40.8,40.8,40.8,40.8,0.0
2017-11-20-07,40.8,42,39.2,40.5,1773.86
2017-11-20-08,40.5,41,38.5,40.9,3976.87
2017-11-20-09,40.9,42.2,40,40.85,2535.83
2017-11-20-10,40.85,41.6,40.5,40.5,2649.15
2017-11-20-11,40.5,41.6,40,40.5,967.82
2017-11-20-12,40.5,40.5,40,40.5,1273.67
2017-11-20-13,40.5,42.5,40.02,42.5,3736.7
2017-11-20-14,42.5,43,39.2,41,8827.82
2017-11-20-15,41,42,40.5,41,1304.0
2017-11-20-16,41,41.48,38,38,14643.75
2017-11-20-17,38,40.5,34.7,37.5,16758.04
2017-11-20-18,37.5,40,37.5,39,2645.42
2017-11-20-19,39,39.45,38.53,39.45,313.71
2017-11-20-20,39.45,39.9,38.6,38.65,462.11
2017-11-20-21,38.65,38.65,37,37.3,1624.05
2017-11-20-22,37.3,37.49,36.01,36.05,3907.58
2017-11-20-23,36.05,37.2,35.1,35.58,5186.42
2017-11-21-00,35.58,36.39,34.2,35,7902.12
2017-11-21-01,35,36.9,35,36.9,3418.47
2017-11-21-02,36.9,36.9,35.28,35.28,1201.23
2017-11-21-03,35.28,35.28,33.5,34.11,7191.52
2017-11-21-04,34.11,35.18,33.6,35.18,3979.93
2017-11-21-05,35.18,36.81,35,35.8,1697.47
2017-11-21-06,35.8,37.18,35.19,36.3,1800.86
2017-11-21-07,36.3,36.7,35.1,36.7,1404.15
2017-11-21-08,36.7,37,36.7,37,2343.74
2017-11-21-09,37,37.19,35.58,37.19,3946.75
2017-11-21-10,37.19,37.5,36.3,36.5,460.86
2017-11-21-11,36.5,36.7,35.7,35.85,2261.61
2017-11-21-12,35.85,36.1,35.11,35.5,3097.58
2017-11-21-13,35.5,36.39,35.12,35.35,3386.3
2017-11-21-14,35.13,36.1,35.13,35.15,199.48
2017-11-21-15,35.15,36.89,35.15,35.3,1589.54
