2022-04-29-16,2.2,5.05,2.2,2.295,19485515.99
2022-04-29-17,2.294,2.44,2.104,2.295,5650128.28
2022-04-29-18,2.292,2.37,2.152,2.165,1655439.41
2022-04-29-19,2.165,2.33,2.15,2.313,997652.39
2022-04-29-20,2.313,2.35,2.218,2.247,948395.76
2022-04-29-21,2.248,2.3,2.15,2.224,635527.05
2022-04-29-22,2.22,2.3,2.19,2.282,476074.93
2022-04-29-23,2.282,2.335,2.234,2.315,562615.06
2022-04-30-00,2.314,2.38,2.23,2.287,443446.19
2022-04-30-01,2.29,2.375,2.23,2.344,595207.18
2022-04-30-02,2.341,2.575,2.266,2.482,2364379.76
2022-04-30-03,2.483,2.61,2.425,2.544,2321555.58
2022-04-30-04,2.544,2.585,2.44,2.442,1424422.91
2022-04-30-05,2.444,2.52,2.44,2.466,531764.22
2022-04-30-06,2.468,2.71,2.45,2.522,2158608.13
2022-04-30-07,2.523,2.62,2.517,2.564,691260.15
2022-04-30-08,2.563,2.64,2.531,2.548,921198.13
2022-04-30-09,2.548,2.58,2.45,2.545,734258.74
2022-04-30-10,2.546,2.73,2.5,2.66,2240166.13
2022-04-30-11,2.662,2.88,2.57,2.803,2901229.15
2022-04-30-12,2.802,3.072,2.65,2.68,7577538.32
2022-04-30-13,2.68,2.85,2.526,2.695,3391907.22
2022-04-30-14,2.691,2.825,2.613,2.741,1661473.86
2022-04-30-15,2.742,2.8,2.636,2.686,1115555.95
2022-04-30-16,2.686,2.686,2.51,2.516,1773832.6
2022-04-30-17,2.516,2.689,2.515,2.608,962912.5
2022-04-30-18,2.606,2.739,2.551,2.72,938324.39
2022-04-30-19,2.72,2.722,2.506,2.535,1120552.74
2022-04-30-20,2.538,2.57,2.435,2.485,677154.36
2022-04-30-21,2.49,2.58,2.407,2.517,593823.83
2022-04-30-22,2.518,2.535,2.418,2.44,302848.85
2022-04-30-23,2.436,2.444,2.36,2.363,424367.41
2022-05-01-00,2.363,2.63,2.337,2.508,560986.43
2022-05-01-01,2.504,2.51,2.284,2.333,681486.7
2022-05-01-02,2.335,2.4,2.2,2.24,603682.65
2022-05-01-03,2.241,2.5,2.119,2.326,667855.38
2022-05-01-04,2.326,2.448,2.27,2.31,288396.14
2022-05-01-05,2.304,2.343,2.11,2.294,313165.98
2022-05-01-06,2.298,2.314,2.201,2.207,214359.35
2022-05-01-07,2.207,2.288,2.204,2.256,161518.37
2022-05-01-08,2.257,2.283,2.15,2.239,336416.65
2022-05-01-09,2.237,2.28,2.197,2.251,201956.58
2022-05-01-10,2.251,2.349,2.24,2.279,260473.61
2022-05-01-11,2.279,2.447,2.274,2.349,351749.87
2022-05-01-12,2.349,2.418,2.329,2.413,374301.64
2022-05-01-13,2.409,2.447,2.346,2.346,264425.32
2022-05-01-14,2.348,2.397,2.305,2.356,166505.58
2022-05-01-15,2.355,2.359,2.28,2.285,131406.75
2022-05-01-16,2.285,2.339,2.275,2.305,110652.81
2022-05-01-17,2.306,2.358,2.28,2.345,187292.7
2022-05-01-18,2.345,2.37,2.295,2.296,248665.93
2022-05-01-19,2.299,2.327,2.292,2.318,115077.7
2022-05-01-20,2.318,2.324,2.251,2.26,116367.91
2022-05-01-21,2.266,2.278,2.182,2.262,275059.38
2022-05-01-22,2.264,2.281,2.194,2.251,193688.38
2022-05-01-23,2.252,2.3,2.216,2.272,203206.24
2022-05-02-00,2.272,2.297,2.237,2.253,112203.34
2022-05-02-01,2.253,2.286,2.236,2.267,142988.45
2022-05-02-02,2.265,2.353,2.221,2.31,283188.95
2022-05-02-03,2.309,2.326,2.258,2.264,109318.26
2022-05-02-04,2.261,2.305,2.193,2.236,240556.78
2022-05-02-05,2.233,2.254,2.224,2.244,76143.81
2022-05-02-06,2.24,2.248,2.155,2.237,272162.4
2022-05-02-07,2.24,2.25,2.19,2.25,150789.89
2022-05-02-08,2.246,2.278,2.235,2.264,93275.34
2022-05-02-09,2.261,2.292,2.25,2.288,89789.24
2022-05-02-10,2.291,2.292,2.223,2.26,100726.2
2022-05-02-11,2.26,2.289,2.238,2.249,96645.17
