2021-03-03-01,0.3734,0.3997,0.3683,0.3922,1099968.66
2021-03-03-02,0.3926,0.42,0.3898,0.4072,3390483.76
2021-03-03-03,0.407,0.4144,0.4034,0.4044,535205.3
2021-03-03-04,0.4039,0.4075,0.3905,0.3935,1476001.3
2021-03-03-05,0.3936,0.4063,0.3922,0.3966,1088725.34
2021-03-03-06,0.3972,0.4006,0.3949,0.397,647396.68
2021-03-03-07,0.397,0.4085,0.397,0.4065,693727.94
2021-03-03-08,0.4083,0.4165,0.4067,0.4087,764140.01
2021-03-03-09,0.4088,0.42,0.4067,0.4109,1070667.16
2021-03-03-10,0.4114,0.4164,0.4084,0.4135,471168.54
2021-03-03-11,0.4137,0.4184,0.4096,0.4099,649532.04
2021-03-03-12,0.4096,0.4398,0.4065,0.4311,2386291.56
2021-03-03-13,0.4295,0.4388,0.4238,0.4318,1247999.52
2021-03-03-14,0.4328,0.4339,0.4108,0.4183,1302242.23
2021-03-03-15,0.4178,0.4182,0.401,0.4104,1548603.23
2021-03-03-16,0.4104,0.4292,0.4098,0.4205,1346029.06
2021-03-03-17,0.4205,0.43,0.4204,0.4208,988758.87
2021-03-03-18,0.4211,0.426,0.4158,0.4183,534016.94
2021-03-03-19,0.4194,0.422,0.4117,0.4166,840680.81
2021-03-03-20,0.4166,0.4168,0.4001,0.4082,760874.28
2021-03-03-21,0.4097,0.41,0.3996,0.4022,622470.58
2021-03-03-22,0.4012,0.409,0.3979,0.4073,468414.55
2021-03-03-23,0.408,0.414,0.3979,0.3996,1048844.34
2021-03-04-00,0.399,0.4145,0.3976,0.4008,564166.4
2021-03-04-01,0.4012,0.4189,0.3917,0.4135,1092693.47
2021-03-04-02,0.4149,0.4229,0.4078,0.4098,637187.14
2021-03-04-03,0.4099,0.4161,0.4051,0.4052,327716.16
2021-03-04-04,0.4056,0.43,0.4028,0.4133,1644921.47
2021-03-04-05,0.414,0.42,0.3931,0.3943,985366.66
