2021-02-11-12,0.358,0.3587,0.3459,0.3504,465501.36
2021-02-11-13,0.3499,0.3504,0.3387,0.3484,526417.74
2021-02-11-14,0.3484,0.3514,0.3451,0.3452,327730.87
2021-02-11-15,0.3452,0.3554,0.3451,0.3489,257477.86
2021-02-11-16,0.3489,0.3536,0.3474,0.3498,266028.02
2021-02-11-17,0.35,0.3699,0.346,0.3559,818382.47
2021-02-11-18,0.3559,0.3698,0.3542,0.3654,477024.15
2021-02-11-19,0.3644,0.4552,0.3585,0.4422,10117274.8
2021-02-11-20,0.4411,0.4749,0.4151,0.4354,6389629.32
2021-02-11-21,0.4369,0.464,0.4175,0.4281,3834728.61
2021-02-11-22,0.4283,0.4519,0.3973,0.4167,5436796.33
2021-02-11-23,0.4181,0.428,0.4137,0.4225,1265183.17
2021-02-12-00,0.424,0.444,0.4201,0.432,1385921.22
2021-02-12-01,0.4291,0.4333,0.4155,0.4225,621547.87
2021-02-12-02,0.422,0.4304,0.42,0.4246,402619.89
2021-02-12-03,0.4234,0.45,0.42,0.4416,451692.05
2021-02-12-04,0.4429,0.4623,0.43,0.4326,988586.54
2021-02-12-05,0.4326,0.4334,0.4121,0.4199,684123.96
2021-02-12-06,0.4203,0.432,0.4195,0.4275,378283.97
2021-02-12-07,0.427,0.4351,0.4151,0.4227,854740.56
2021-02-12-08,0.4228,0.4231,0.41,0.4188,526476.86
2021-02-12-09,0.4194,0.4195,0.4038,0.409,602246.63
2021-02-12-10,0.409,0.4134,0.4001,0.4038,576789.5
2021-02-12-11,0.4051,0.4121,0.4016,0.4103,672812.65
2021-02-12-12,0.41,0.4331,0.4073,0.4283,1019521.0
2021-02-12-13,0.4281,0.57,0.4191,0.5014,15972036.29
2021-02-12-14,0.5001,0.5372,0.4665,0.4943,14647641.32
2021-02-12-15,0.4944,0.5148,0.465,0.5105,11731394.12
2021-02-12-16,0.5105,0.5148,0.475,0.4799,3189343.82
2021-02-12-17,0.4821,0.512,0.4792,0.4907,2661548.25
2021-02-12-18,0.4901,0.4945,0.4704,0.4861,1969442.16
2021-02-12-19,0.4861,0.4864,0.455,0.4628,1196797.04
2021-02-12-20,0.4625,0.4869,0.4618,0.4841,1016948.44
2021-02-12-21,0.4847,0.4855,0.4703,0.4779,664914.06
2021-02-12-22,0.4778,0.4883,0.4703,0.488,596043.58
2021-02-12-23,0.4856,0.5046,0.4808,0.4916,904539.23
2021-02-13-00,0.4938,0.5,0.4707,0.4753,1024950.62
2021-02-13-01,0.4755,0.4826,0.4722,0.4796,464300.62
2021-02-13-02,0.4796,0.4988,0.476,0.4933,365574.68
2021-02-13-03,0.4942,0.5125,0.494,0.5119,568147.63
2021-02-13-04,0.5093,0.5125,0.4902,0.4973,674909.7
2021-02-13-05,0.497,0.5062,0.4947,0.5047,312420.69
2021-02-13-06,0.5047,0.5112,0.4869,0.5111,708182.99
2021-02-13-07,0.5104,0.5263,0.5,0.5184,810525.31
2021-02-13-08,0.5163,0.5232,0.5025,0.504,476877.09
2021-02-13-09,0.5026,0.5107,0.485,0.504,953531.27
2021-02-13-10,0.504,0.5127,0.4959,0.5098,636920.82
2021-02-13-11,0.5087,0.5111,0.47,0.472,980124.78
2021-02-13-12,0.472,0.4879,0.4511,0.4675,1504972.02
2021-02-13-13,0.4675,0.4894,0.4653,0.4782,687321.02
2021-02-13-14,0.4782,0.49,0.4693,0.4895,471568.56
2021-02-13-15,0.4895,0.4908,0.4669,0.471,700791.56
2021-02-13-16,0.4719,0.4823,0.4688,0.4789,603609.63
2021-02-13-17,0.479,0.4848,0.458,0.4646,965571.75
2021-02-13-18,0.4646,0.465,0.4525,0.4544,615079.92
2021-02-13-19,0.4544,0.4592,0.4519,0.4572,374650.51
2021-02-13-20,0.4574,0.4596,0.4515,0.4556,550998.31
2021-02-13-21,0.4556,0.4571,0.4511,0.457,398104.23
2021-02-13-22,0.4551,0.4633,0.4533,0.4627,439719.86
2021-02-13-23,0.4606,0.476,0.4594,0.4745,275344.81
2021-02-14-00,0.4739,0.4816,0.4729,0.4778,299378.95
2021-02-14-01,0.4778,0.4807,0.4637,0.4665,271695.38
2021-02-14-02,0.4645,0.4731,0.4621,0.4719,180941.54
2021-02-14-03,0.4717,0.476,0.4645,0.4727,269560.23
2021-02-14-04,0.4729,0.4729,0.4591,0.4637,145493.53
2021-02-14-05,0.462,0.4667,0.4521,0.4543,249670.2
2021-02-14-06,0.4539,0.4597,0.445,0.446,429239.01
2021-02-14-07,0.4459,0.4524,0.44,0.4483,572989.27
2021-02-14-08,0.4485,0.4528,0.4458,0.4496,320424.61
2021-02-14-09,0.4495,0.4525,0.4458,0.4483,212072.46
2021-02-14-10,0.4468,0.4485,0.4369,0.4394,422874.17
2021-02-14-11,0.4388,0.4421,0.4382,0.4405,344580.85
2021-02-14-12,0.4405,0.4406,0.4298,0.4377,487578.74
2021-02-14-13,0.438,0.441,0.4305,0.4355,310656.7
2021-02-14-14,0.4351,0.4356,0.417,0.4222,818131.01
2021-02-14-15,0.4222,0.4241,0.4137,0.4177,757404.09
2021-02-14-16,0.4178,0.4405,0.4023,0.43,748120.61
2021-02-14-17,0.4301,0.4327,0.422,0.4322,313739.49
2021-02-14-18,0.4313,0.4587,0.428,0.4491,9711821.61
2021-02-14-19,0.4489,0.492,0.4452,0.46,2262046.8
2021-02-14-20,0.4603,0.4985,0.458,0.4728,952163.31
2021-02-14-21,0.4749,0.4805,0.4644,0.4727,361398.34
2021-02-14-22,0.4736,0.476,0.457,0.4576,449881.2
2021-02-14-23,0.4582,0.4919,0.4568,0.4687,11702550.75
2021-02-15-00,0.4689,0.5051,0.4686,0.4868,1355231.68
2021-02-15-01,0.4858,0.5005,0.4764,0.4827,378062.21
2021-02-15-02,0.4827,0.5093,0.48,0.4975,907880.1
2021-02-15-03,0.4975,0.4987,0.415,0.443,1449252.03
2021-02-15-04,0.4439,0.4588,0.43,0.4348,590827.62
2021-02-15-05,0.434,0.434,0.4024,0.4208,598881.35
2021-02-15-06,0.4229,0.4276,0.4131,0.42,228537.45
2021-02-15-07,0.42,0.43,0.4174,0.4298,180619.83
2021-02-15-08,0.4288,0.443,0.4279,0.4405,375786.94
2021-02-15-09,0.4423,0.452,0.4357,0.4518,305339.05
2021-02-15-10,0.4518,0.4591,0.443,0.4466,443182.72
2021-02-15-11,0.4466,0.452,0.443,0.4451,193294.82
2021-02-15-12,0.4466,0.47,0.4442,0.4692,3601029.57
2021-02-15-13,0.4681,0.4777,0.4563,0.475,397954.63
2021-02-15-14,0.4751,0.49,0.4751,0.4888,445587.29
2021-02-15-15,0.4881,0.4996,0.4719,0.4729,599606.52
2021-02-15-16,0.4729,0.4762,0.4624,0.4704,718001.21
2021-02-15-17,0.47,0.4771,0.465,0.4674,481398.43
2021-02-15-18,0.4678,0.471,0.4651,0.4669,203916.44
2021-02-15-19,0.4674,0.4754,0.4668,0.4699,297523.8
2021-02-15-20,0.4697,0.48,0.4667,0.48,270895.96
2021-02-15-21,0.48,0.4902,0.4775,0.4893,200055.62
2021-02-15-22,0.4887,0.4892,0.444,0.4442,598109.68
2021-02-15-23,0.4442,0.4581,0.4268,0.4507,667008.36
2021-02-16-00,0.4502,0.4578,0.4353,0.4394,180499.26
2021-02-16-01,0.4383,0.4454,0.4297,0.4379,179511.9
2021-02-16-02,0.4384,0.4526,0.4373,0.4484,127535.44
2021-02-16-03,0.4484,0.4592,0.4484,0.4546,152365.02
2021-02-16-04,0.4546,0.4716,0.4522,0.4564,367330.44
2021-02-16-05,0.4563,0.4564,0.4403,0.4503,212349.43
2021-02-16-06,0.4499,0.4526,0.4452,0.4506,80388.1
2021-02-16-07,0.4504,0.4558,0.4411,0.4535,86847.07
2021-02-16-08,0.4535,0.461,0.4529,0.458,103807.02
2021-02-16-09,0.4592,0.4595,0.4512,0.4582,218495.12
2021-02-16-10,0.4581,0.4743,0.4556,0.4634,417959.05
2021-02-16-11,0.4637,0.4732,0.4565,0.4628,366017.82
2021-02-16-12,0.462,0.4628,0.4535,0.4556,149449.89
2021-02-16-13,0.4553,0.4578,0.4405,0.4428,456082.22
2021-02-16-14,0.4434,0.4447,0.436,0.4369,332812.46
2021-02-16-15,0.4371,0.4556,0.4364,0.4516,256378.98
2021-02-16-16,0.4516,0.4587,0.4428,0.446,273200.33
2021-02-16-17,0.4454,0.4481,0.4172,0.4213,396326.11
2021-02-16-18,0.4213,0.4355,0.4212,0.4287,341369.4
2021-02-16-19,0.4276,0.4299,0.415,0.427,494011.27
2021-02-16-20,0.4269,0.4401,0.4251,0.4377,333864.69
2021-02-16-21,0.4379,0.4394,0.4208,0.4279,302981.37
2021-02-16-22,0.4292,0.4292,0.4181,0.4209,192869.69
2021-02-16-23,0.4209,0.4265,0.4188,0.4265,113103.11
2021-02-17-00,0.4264,0.4302,0.4219,0.4267,167904.75
2021-02-17-01,0.4282,0.4294,0.4188,0.4188,195537.02
2021-02-17-02,0.4189,0.4198,0.4087,0.4092,441134.51
2021-02-17-03,0.4092,0.413,0.4079,0.4089,206166.47
2021-02-17-04,0.4087,0.4089,0.4001,0.4019,381283.36
2021-02-17-05,0.403,0.4042,0.392,0.3922,750655.96
2021-02-17-06,0.3938,0.3999,0.3921,0.3937,198522.03
2021-02-17-07,0.3938,0.4,0.3921,0.3942,349876.38
2021-02-17-08,0.3942,0.419,0.3942,0.4128,437184.32
2021-02-17-09,0.4125,0.4192,0.4058,0.4119,374011.91
2021-02-17-10,0.4119,0.4181,0.4073,0.4077,391124.63
2021-02-17-11,0.4076,0.4204,0.4076,0.4165,216733.83
2021-02-17-12,0.4168,0.4249,0.4166,0.4242,254448.38
2021-02-17-13,0.424,0.4269,0.4156,0.4183,301618.42
2021-02-17-14,0.4199,0.4213,0.412,0.4211,148612.77
2021-02-17-15,0.4212,0.4236,0.4136,0.4228,302770.75
2021-02-17-16,0.4221,0.4233,0.4151,0.4182,185930.02
2021-02-17-17,0.4188,0.423,0.4135,0.4202,390399.35
2021-02-17-18,0.4186,0.4271,0.4157,0.425,506516.22
2021-02-17-19,0.4246,0.4332,0.4193,0.4225,649919.67
2021-02-17-20,0.4223,0.43,0.4199,0.423,426935.34
2021-02-17-21,0.423,0.4332,0.4189,0.4294,381399.9
2021-02-17-22,0.4317,0.446,0.4278,0.4388,445972.51
2021-02-17-23,0.4424,0.4442,0.43,0.4301,418526.73
2021-02-18-00,0.4301,0.4311,0.4214,0.4216,231734.4
2021-02-18-01,0.4231,0.426,0.4218,0.425,178691.68
2021-02-18-02,0.425,0.4363,0.42,0.4363,335647.49
2021-02-18-03,0.4338,0.4415,0.4305,0.4341,97809.62
2021-02-18-04,0.4343,0.4373,0.4282,0.4322,298477.22
2021-02-18-05,0.431,0.4322,0.4256,0.4298,190909.22
2021-02-18-06,0.4274,0.4329,0.4257,0.4294,249981.07
2021-02-18-07,0.43,0.4309,0.4271,0.428,213935.78
2021-02-18-08,0.429,0.429,0.42,0.4265,314407.39
2021-02-18-09,0.4261,0.4298,0.4217,0.4261,339714.69
2021-02-18-10,0.4261,0.4284,0.4179,0.4239,500534.12
2021-02-18-11,0.4252,0.435,0.424,0.4322,353538.3
2021-02-18-12,0.4322,0.435,0.419,0.4277,334043.33
2021-02-18-13,0.4278,0.4303,0.4158,0.4208,290740.75
2021-02-18-14,0.4208,0.4302,0.4202,0.4281,320999.74
2021-02-18-15,0.4261,0.4276,0.4205,0.4252,276491.05
2021-02-18-16,0.4247,0.494,0.42,0.478,3002756.35
2021-02-18-17,0.4794,0.5332,0.468,0.506,6245202.3
2021-02-18-18,0.507,0.5473,0.5003,0.5153,4722957.69
2021-02-18-19,0.5153,0.538,0.5086,0.5379,1413203.43
2021-02-18-20,0.5378,0.54,0.4908,0.4952,1300212.85
