2024-02-11-22,55.48,55.53,55.09,55.44,233.796
2024-02-11-23,55.45,55.95,55.42,55.66,237.193
2024-02-12-00,55.66,55.9,55.52,55.81,157.952
2024-02-12-01,55.89,57.78,55.69,56.94,702.492
2024-02-12-02,56.95,58.06,56.95,57.46,374.976
2024-02-12-03,57.64,57.64,55.92,56.48,245.728
2024-02-12-04,56.56,56.94,56.56,56.64,104.566
2024-02-12-05,56.39,56.43,56.01,56.17,313.194
2024-02-12-06,56.48,56.94,56.41,56.5,291.024
2024-02-12-07,56.52,56.57,55.83,55.97,77.063
2024-02-12-08,56.16,56.88,56.15,56.47,182.507
2024-02-12-09,56.53,57.04,56.44,56.61,416.541
2024-02-12-10,56.59,56.59,55.8,55.8,169.495
2024-02-12-11,55.97,56.18,55.68,55.69,156.855
2024-02-12-12,55.64,55.93,55.15,55.72,469.484
2024-02-12-13,55.73,55.87,55.28,55.5,91.841
2024-02-12-14,55.46,55.93,55.27,55.77,165.125
2024-02-12-15,55.77,56.44,55.72,56.44,245.555
2024-02-12-16,56.33,57.22,56.3,57.13,643.862
2024-02-12-17,56.98,57.3,56.74,56.95,887.645
2024-02-12-18,57.02,57.77,57.02,57.55,304.092
2024-02-12-19,57.66,57.91,57.64,57.77,306.181
2024-02-12-20,57.74,57.97,57.26,57.26,599.588
2024-02-12-21,57.35,58.83,57.35,58.77,2233.271
2024-02-12-22,58.59,59.01,58.02,58.08,777.143
2024-02-12-23,58.15,58.31,58.07,58.24,763.73
2024-02-13-00,58.13,58.13,57.69,57.94,495.613
2024-02-13-01,57.98,58.51,57.98,58.25,198.502
2024-02-13-02,58.28,58.28,57.67,57.81,505.658
2024-02-13-03,57.76,58.06,57.75,58.06,234.322
2024-02-13-04,58.2,59.56,58.08,58.7,648.75
2024-02-13-05,58.94,60.72,58.78,60.07,1568.952
2024-02-13-06,60.01,60.26,59.04,59.29,598.906
2024-02-13-07,59.17,60.13,59.02,59.68,875.81
2024-02-13-08,59.66,60.06,59.55,60.06,576.605
2024-02-13-09,60.19,61.1,60.09,60.37,777.507
2024-02-13-10,60.35,60.36,59.54,60.07,557.15
2024-02-13-11,60.01,60.32,59.14,59.17,460.104
2024-02-13-12,59.19,59.82,59.17,59.64,448.506
2024-02-13-13,59.41,59.57,59.29,59.33,343.691
2024-02-13-14,59.31,59.47,57.9,58.9,1376.805
2024-02-13-15,58.8,59.38,57.89,58.72,2017.067
2024-02-13-16,58.69,58.9,58.24,58.51,1084.321
2024-02-13-17,58.58,58.88,58.06,58.06,660.153
2024-02-13-18,58.15,58.48,58.01,58.43,474.701
2024-02-13-19,58.39,58.77,58.16,58.69,757.583
2024-02-13-20,58.74,59.05,58.47,58.79,371.382
2024-02-13-21,58.96,59.31,58.84,59.28,242.472
2024-02-13-22,59.16,59.39,59.07,59.07,187.349
2024-02-13-23,59.1,59.32,58.67,59.23,122.517
2024-02-14-00,59.17,59.35,58.99,59.26,360.849
2024-02-14-01,58.92,58.92,58.12,58.24,155.878
2024-02-14-02,58.2,58.53,58.2,58.37,116.553
2024-02-14-03,58.34,58.55,58.29,58.51,101.763
2024-02-14-04,58.6,58.76,58.59,58.65,62.617
2024-02-14-05,58.67,58.74,58.3,58.41,23.354
2024-02-14-06,58.44,58.79,58.44,58.69,44.496
2024-02-14-07,58.79,59.0,58.68,59.0,205.917
2024-02-14-08,58.95,59.55,58.88,59.53,230.775
2024-02-14-09,59.37,59.97,59.23,59.93,239.449
2024-02-14-10,59.83,60.48,59.81,60.44,904.104
2024-02-14-11,60.26,60.32,59.86,60.0,386.358
2024-02-14-12,60.02,60.31,59.8,60.15,270.745
2024-02-14-13,60.19,60.91,60.04,60.22,1038.776
2024-02-14-14,60.08,60.3,60.02,60.24,519.986
2024-02-14-15,60.23,60.23,59.47,59.61,395.053
2024-02-14-16,59.53,60.31,58.98,60.09,2184.236
2024-02-14-17,59.97,60.38,59.59,59.72,639.298
2024-02-14-18,59.86,59.86,59.52,59.72,250.862
2024-02-14-19,59.61,59.88,59.49,59.86,232.798
2024-02-14-20,59.76,60.09,59.76,59.9,1064.076
2024-02-14-21,59.95,60.16,59.95,60.03,318.871
2024-02-14-22,59.89,60.68,59.8,60.67,285.679
2024-02-14-23,60.55,60.99,60.44,60.94,477.606
2024-02-15-00,60.82,60.96,60.74,60.88,1070.852
2024-02-15-01,60.9,60.9,60.43,60.76,404.314
2024-02-15-02,60.51,60.51,59.59,59.76,124.607
2024-02-15-03,59.89,60.12,59.83,59.87,63.188
2024-02-15-04,59.92,60.39,59.79,60.39,107.709
2024-02-15-05,60.35,60.53,60.05,60.14,611.555
2024-02-15-06,60.03,60.03,58.76,59.04,344.415
2024-02-15-07,59.1,59.59,58.97,59.38,338.325
2024-02-15-08,59.33,59.63,59.09,59.43,1063.07
2024-02-15-09,59.35,59.63,59.25,59.53,409.549
2024-02-15-10,59.55,60.03,59.46,60.0,409.119
2024-02-15-11,59.98,60.43,59.91,60.19,426.683
2024-02-15-12,60.18,61.01,59.95,60.05,1672.207
