2022-07-07-07,18.8,18.87,18.49,18.51,807.806
2022-07-07-08,18.53,18.71,18.51,18.67,452.559
2022-07-07-09,18.69,18.94,18.49,18.93,654.461
2022-07-07-10,18.96,19.24,18.9,19.19,4195.815
2022-07-07-11,19.17,19.24,19.02,19.04,1475.621
2022-07-07-12,19.04,19.05,18.91,18.96,572.824
2022-07-07-13,18.97,19.08,18.9,19.06,450.611
2022-07-07-14,19.06,19.14,18.87,18.92,781.273
2022-07-07-15,18.92,19.1,18.75,19.03,2647.722
2022-07-07-16,19.09,19.69,19.03,19.61,9663.584
2022-07-07-17,19.57,19.75,19.49,19.6,2852.944
2022-07-07-18,19.57,20.15,19.5,19.93,4428.897
2022-07-07-19,19.9,19.9,19.59,19.69,2121.013
2022-07-07-20,19.74,20.28,19.69,20.13,2245.294
2022-07-07-21,20.13,20.21,19.95,20.15,2383.863
2022-07-07-22,20.1,20.13,19.85,19.93,2432.064
2022-07-07-23,19.94,19.97,19.81,19.95,881.486
2022-07-08-00,19.94,19.94,19.69,19.75,358.706
2022-07-08-01,19.77,20.05,19.74,19.87,1392.028
2022-07-08-02,19.8,19.91,19.57,19.91,1198.457
2022-07-08-03,19.92,20.71,19.89,20.4,3522.863
2022-07-08-04,20.41,20.41,20.1,20.27,1301.821
2022-07-08-05,20.29,20.43,20.25,20.43,910.107
2022-07-08-06,20.45,20.55,20.1,20.16,739.109
2022-07-08-07,20.14,20.23,19.8,19.95,1297.597
2022-07-08-08,19.78,19.83,19.59,19.7,1601.171
2022-07-08-09,19.7,19.89,19.57,19.89,1376.917
2022-07-08-10,19.86,20.0,19.42,19.42,2752.162
2022-07-08-11,19.42,19.54,19.23,19.51,973.737
2022-07-08-12,19.5,19.62,19.37,19.37,693.581
2022-07-08-13,19.35,19.57,19.3,19.52,902.265
2022-07-08-14,19.44,19.71,19.16,19.36,3183.77
2022-07-08-15,19.35,19.55,19.16,19.31,1360.134
2022-07-08-16,19.3,19.75,19.26,19.62,746.622
2022-07-08-17,19.61,20.05,19.5,19.94,1420.336
2022-07-08-18,19.89,19.89,19.59,19.74,888.989
2022-07-08-19,19.74,19.91,19.69,19.86,523.951
2022-07-08-20,19.83,20.07,19.8,19.81,633.951
2022-07-08-21,19.77,19.94,19.7,19.74,905.615
2022-07-08-22,19.7,19.95,19.65,19.84,1219.247
2022-07-08-23,19.83,19.93,19.5,19.51,1524.209
2022-07-09-00,19.64,19.65,19.61,19.62,154.204
