2021-07-05-04,0.469,0.471,0.468,0.468,6802.76
2021-07-05-05,0.472,0.472,0.468,0.469,94712.44
2021-07-05-06,0.47,0.474,0.469,0.474,1768.04
2021-07-05-07,0.473,0.474,0.47,0.474,2422.94
2021-07-05-08,0.476,0.476,0.473,0.473,1305.62
2021-07-05-09,0.473,0.476,0.471,0.476,515.71
2021-07-05-10,0.475,0.477,0.473,0.477,1820.67
2021-07-05-11,0.476,0.477,0.475,0.477,3291.84
2021-07-05-12,0.477,0.482,0.477,0.48,3226.35
2021-07-05-13,0.481,0.481,0.449,0.452,77246.01
2021-07-05-14,0.451,0.457,0.451,0.455,9597.14
2021-07-05-15,0.456,0.465,0.456,0.464,41093.87
2021-07-05-16,0.463,0.467,0.462,0.464,5690.57
2021-07-05-17,0.464,0.467,0.457,0.457,21739.96
2021-07-05-18,0.458,0.464,0.458,0.46,9293.21
2021-07-05-19,0.461,0.464,0.451,0.464,13553.09
2021-07-05-20,0.465,0.467,0.462,0.464,9510.26
2021-07-05-21,0.466,0.468,0.465,0.466,6709.91
2021-07-05-22,0.468,0.468,0.462,0.468,12514.13
2021-07-05-23,0.469,0.47,0.466,0.468,4561.81
2021-07-06-00,0.467,0.468,0.465,0.465,4299.98
2021-07-06-01,0.467,0.467,0.462,0.462,4718.92
2021-07-06-02,0.463,0.474,0.462,0.468,8383.54
2021-07-06-03,0.466,0.471,0.466,0.469,7640.34
2021-07-06-04,0.469,0.476,0.469,0.475,21343.79
2021-07-06-05,0.474,0.482,0.474,0.482,22597.62
2021-07-06-06,0.482,0.495,0.482,0.494,32776.57
2021-07-06-07,0.494,0.514,0.493,0.507,60344.59
2021-07-06-08,0.51,0.51,0.503,0.508,29760.05
2021-07-06-09,0.508,0.52,0.508,0.515,103706.34
2021-07-06-10,0.516,0.534,0.515,0.528,114305.83
2021-07-06-11,0.528,0.53,0.507,0.517,136642.6
2021-07-06-12,0.517,0.517,0.508,0.509,15121.28
2021-07-06-13,0.509,0.516,0.507,0.512,8434.3
2021-07-06-14,0.511,0.526,0.51,0.521,65917.18
2021-07-06-15,0.521,0.526,0.511,0.518,11399.18
2021-07-06-16,0.518,0.523,0.514,0.517,4380.29
2021-07-06-17,0.516,0.52,0.513,0.518,132314.31
2021-07-06-18,0.519,0.522,0.509,0.518,20221.02
2021-07-06-19,0.518,0.518,0.507,0.512,20931.83
2021-07-06-20,0.511,0.514,0.508,0.508,4137.89
2021-07-06-21,0.509,0.516,0.509,0.513,40476.28
2021-07-06-22,0.515,0.524,0.514,0.517,15473.51
2021-07-06-23,0.516,0.516,0.507,0.509,27790.37
2021-07-07-00,0.51,0.524,0.51,0.522,98469.71
2021-07-07-01,0.524,0.525,0.517,0.517,20874.36
2021-07-07-02,0.516,0.552,0.513,0.551,85696.31
2021-07-07-03,0.552,0.568,0.552,0.567,167554.05
2021-07-07-04,0.565,0.584,0.556,0.584,144499.98
2021-07-07-05,0.583,0.621,0.58,0.616,196618.83
2021-07-07-06,0.615,0.624,0.598,0.6,78689.88
2021-07-07-07,0.6,0.625,0.598,0.617,58844.78
2021-07-07-08,0.615,0.619,0.604,0.619,81332.67
2021-07-07-09,0.616,0.616,0.592,0.594,126177.64
2021-07-07-10,0.593,0.602,0.586,0.599,41659.56
2021-07-07-11,0.595,0.608,0.593,0.603,42006.2
2021-07-07-12,0.603,0.608,0.593,0.607,30693.6
2021-07-07-13,0.607,0.612,0.602,0.604,29681.02
2021-07-07-14,0.603,0.608,0.592,0.593,53169.03
2021-07-07-15,0.594,0.607,0.592,0.607,9292.0
2021-07-07-16,0.608,0.632,0.598,0.621,116999.58
2021-07-07-17,0.62,0.62,0.598,0.6,63535.09
2021-07-07-18,0.599,0.638,0.599,0.619,273654.34
2021-07-07-19,0.614,0.622,0.614,0.619,52108.56
2021-07-07-20,0.618,0.644,0.617,0.639,133069.13
2021-07-07-21,0.64,0.671,0.639,0.657,229443.42
2021-07-07-22,0.656,0.657,0.643,0.645,168672.48
2021-07-07-23,0.645,0.647,0.617,0.621,150499.62
2021-07-08-00,0.621,0.641,0.618,0.631,105897.7
2021-07-08-01,0.629,0.629,0.61,0.612,117559.72
2021-07-08-02,0.615,0.685,0.615,0.659,1166184.55
2021-07-08-03,0.657,0.717,0.656,0.685,509806.55
2021-07-08-04,0.686,0.7,0.671,0.688,116796.85
2021-07-08-05,0.688,0.688,0.656,0.672,151251.2
2021-07-08-06,0.674,0.683,0.665,0.673,52207.74
2021-07-08-07,0.674,0.69,0.644,0.644,163886.29
2021-07-08-08,0.643,0.672,0.64,0.64,202330.75
2021-07-08-09,0.641,0.648,0.599,0.609,117052.23
2021-07-08-10,0.607,0.646,0.6,0.642,98020.54
2021-07-08-11,0.643,0.643,0.619,0.62,88898.27
2021-07-08-12,0.619,0.633,0.615,0.617,89063.33
2021-07-08-13,0.617,0.626,0.603,0.62,57800.29
2021-07-08-14,0.618,0.638,0.612,0.617,141779.74
2021-07-08-15,0.617,0.619,0.599,0.605,88057.69
2021-07-08-16,0.604,0.613,0.58,0.582,122929.08
2021-07-08-17,0.582,0.582,0.565,0.569,194739.45
2021-07-08-18,0.568,0.575,0.556,0.567,119605.6
2021-07-08-19,0.568,0.57,0.565,0.565,37841.86
2021-07-08-20,0.566,0.567,0.546,0.554,119816.45
2021-07-08-21,0.555,0.564,0.549,0.563,16236.94
2021-07-08-22,0.561,0.562,0.548,0.55,13603.95
2021-07-08-23,0.55,0.559,0.537,0.537,96857.07
2021-07-09-00,0.539,0.539,0.526,0.534,19708.62
2021-07-09-01,0.534,0.555,0.531,0.543,56654.69
2021-07-09-02,0.542,0.542,0.507,0.513,94438.57
2021-07-09-03,0.515,0.522,0.507,0.519,60515.22
2021-07-09-04,0.518,0.529,0.516,0.525,41193.5
2021-07-09-05,0.527,0.541,0.527,0.534,27151.99
2021-07-09-06,0.533,0.542,0.531,0.542,51711.25
2021-07-09-07,0.542,0.551,0.541,0.541,40859.42
2021-07-09-08,0.541,0.544,0.534,0.537,50678.33
2021-07-09-09,0.538,0.542,0.528,0.531,17866.49
2021-07-09-10,0.527,0.527,0.512,0.514,27445.1
2021-07-09-11,0.514,0.535,0.514,0.523,91184.4
2021-07-09-12,0.526,0.529,0.521,0.522,51035.03
2021-07-09-13,0.521,0.523,0.515,0.519,27194.62
2021-07-09-14,0.52,0.535,0.512,0.53,46774.23
2021-07-09-15,0.529,0.552,0.528,0.545,142677.94
2021-07-09-16,0.543,0.579,0.537,0.567,125356.91
2021-07-09-17,0.569,0.571,0.555,0.567,40350.38
2021-07-09-18,0.574,0.575,0.554,0.558,121511.77
2021-07-09-19,0.557,0.563,0.553,0.555,283582.45
2021-07-09-20,0.554,0.562,0.552,0.554,384708.49
2021-07-09-21,0.552,0.552,0.539,0.545,67977.22
2021-07-09-22,0.547,0.572,0.546,0.565,306589.19
2021-07-09-23,0.564,0.57,0.559,0.57,49500.94
2021-07-10-00,0.573,0.608,0.572,0.607,120789.73
2021-07-10-01,0.608,0.608,0.585,0.587,122297.61
2021-07-10-02,0.584,0.617,0.58,0.59,122030.99
2021-07-10-03,0.588,0.593,0.579,0.582,71593.64
2021-07-10-04,0.578,0.582,0.575,0.581,126715.7
2021-07-10-05,0.58,0.607,0.58,0.6,137259.9
2021-07-10-06,0.598,0.614,0.586,0.586,139587.76
2021-07-10-07,0.586,0.602,0.581,0.598,66314.83
2021-07-10-08,0.601,0.601,0.589,0.592,39272.42
2021-07-10-09,0.594,0.599,0.587,0.599,39739.31
2021-07-10-10,0.599,0.624,0.593,0.613,151352.3
2021-07-10-11,0.613,0.685,0.606,0.621,225660.13
2021-07-10-12,0.62,0.63,0.611,0.616,122776.81
2021-07-10-13,0.616,0.627,0.608,0.622,25674.98
2021-07-10-14,0.62,0.637,0.616,0.637,34276.49
2021-07-10-15,0.636,0.66,0.63,0.636,208507.7
2021-07-10-16,0.635,0.661,0.63,0.653,96560.73
2021-07-10-17,0.652,0.658,0.647,0.651,47109.25
2021-07-10-18,0.65,0.657,0.64,0.642,35443.27
2021-07-10-19,0.643,0.643,0.617,0.628,146937.13
2021-07-10-20,0.627,0.635,0.622,0.628,66972.44
2021-07-10-21,0.627,0.637,0.618,0.619,55691.89
2021-07-10-22,0.617,0.617,0.601,0.609,56567.43
2021-07-10-23,0.609,0.632,0.602,0.632,53126.9
2021-07-11-00,0.632,0.632,0.622,0.63,18201.35
2021-07-11-01,0.631,0.642,0.627,0.627,61314.48
2021-07-11-02,0.624,0.648,0.624,0.644,87491.46
2021-07-11-03,0.645,0.659,0.64,0.659,60854.22
2021-07-11-04,0.66,0.661,0.638,0.638,25226.66
2021-07-11-05,0.638,0.64,0.614,0.616,34816.86
2021-07-11-06,0.616,0.627,0.607,0.626,35827.84
2021-07-11-07,0.625,0.637,0.622,0.631,12655.17
2021-07-11-08,0.629,0.629,0.615,0.622,9549.77
2021-07-11-09,0.617,0.623,0.616,0.617,8765.98
2021-07-11-10,0.616,0.628,0.616,0.626,38248.29
2021-07-11-11,0.626,0.631,0.625,0.628,8138.55
2021-07-11-12,0.63,0.635,0.625,0.627,27039.6
2021-07-11-13,0.627,0.627,0.619,0.623,17019.08
2021-07-11-14,0.622,0.622,0.614,0.614,19729.76
2021-07-11-15,0.614,0.621,0.612,0.621,48251.72
2021-07-11-16,0.62,0.621,0.616,0.619,44202.98
2021-07-11-17,0.618,0.633,0.618,0.631,50009.13
2021-07-11-18,0.63,0.631,0.618,0.62,36965.76
2021-07-11-19,0.618,0.623,0.618,0.621,10628.25
2021-07-11-20,0.62,0.626,0.618,0.626,6407.96
2021-07-11-21,0.623,0.625,0.618,0.62,16503.07
2021-07-11-22,0.62,0.626,0.619,0.62,20062.21
2021-07-11-23,0.619,0.627,0.616,0.624,37880.05
2021-07-12-00,0.623,0.629,0.622,0.629,3769.42
2021-07-12-01,0.629,0.629,0.623,0.626,5107.71
2021-07-12-02,0.625,0.626,0.606,0.606,112774.45
2021-07-12-03,0.607,0.608,0.594,0.602,21358.26
2021-07-12-04,0.602,0.612,0.601,0.61,58012.78
2021-07-12-05,0.611,0.611,0.601,0.607,12176.62
2021-07-12-06,0.604,0.607,0.6,0.606,54398.75
2021-07-12-07,0.606,0.606,0.603,0.604,10684.65
2021-07-12-08,0.603,0.606,0.599,0.606,44409.72
2021-07-12-09,0.603,0.605,0.6,0.6,5437.56
2021-07-12-10,0.602,0.606,0.602,0.603,5306.14
2021-07-12-11,0.604,0.606,0.587,0.587,80016.72
2021-07-12-12,0.586,0.589,0.579,0.586,25147.93
2021-07-12-13,0.587,0.587,0.57,0.574,93864.66
2021-07-12-14,0.575,0.586,0.575,0.586,42121.53
2021-07-12-15,0.586,0.59,0.581,0.587,6661.75
2021-07-12-16,0.587,0.591,0.585,0.587,11273.54
2021-07-12-17,0.586,0.587,0.58,0.58,1230.81
2021-07-12-18,0.579,0.584,0.565,0.57,52575.64
2021-07-12-19,0.57,0.573,0.567,0.569,13602.93
2021-07-12-20,0.569,0.569,0.562,0.563,10896.82
2021-07-12-21,0.563,0.574,0.563,0.567,19554.17
2021-07-12-22,0.565,0.574,0.559,0.574,26170.78
2021-07-12-23,0.574,0.574,0.57,0.574,4006.91
2021-07-13-00,0.572,0.586,0.572,0.579,19180.74
2021-07-13-01,0.578,0.579,0.567,0.568,23447.9
2021-07-13-02,0.568,0.586,0.565,0.578,113455.99
2021-07-13-03,0.578,0.58,0.569,0.572,7915.4
2021-07-13-04,0.571,0.572,0.569,0.572,4623.65
2021-07-13-05,0.575,0.58,0.575,0.579,2309.42
2021-07-13-06,0.579,0.597,0.575,0.594,23708.4
2021-07-13-07,0.593,0.595,0.54,0.556,415727.5
2021-07-13-08,0.557,0.57,0.557,0.566,130896.11
2021-07-13-09,0.566,0.586,0.566,0.582,62321.06
2021-07-13-10,0.584,0.588,0.578,0.585,38624.85
2021-07-13-11,0.585,0.585,0.571,0.581,114950.25
2021-07-13-12,0.583,0.584,0.569,0.571,18876.09
2021-07-13-13,0.572,0.573,0.564,0.566,3116.01
