2023-10-11-07,8.78,8.83,8.77,8.77,55.809
2023-10-11-08,8.79,8.79,8.74,8.75,337.393
2023-10-11-09,8.75,8.76,8.74,8.76,150.574
2023-10-11-10,8.76,8.83,8.75,8.83,33.855
2023-10-11-11,8.84,8.91,8.84,8.9,546.614
2023-10-11-12,8.86,8.88,8.86,8.88,122.189
2023-10-11-13,8.87,8.89,8.86,8.89,66.254
2023-10-11-14,8.9,8.9,8.84,8.84,154.758
2023-10-11-15,8.86,8.94,8.82,8.94,394.493
2023-10-11-16,8.95,8.95,8.83,8.87,188.95
2023-10-11-17,8.85,8.88,8.75,8.78,881.014
2023-10-11-18,8.76,8.8,8.68,8.71,3349.443
2023-10-11-19,8.76,8.83,8.76,8.82,210.116
2023-10-11-20,8.8,8.82,8.78,8.82,120.353
2023-10-11-21,8.79,8.85,8.77,8.78,150.902
2023-10-11-22,8.77,8.78,8.74,8.76,873.486
2023-10-11-23,8.78,8.78,8.73,8.73,91.522
2023-10-12-00,8.75,8.78,8.72,8.73,274.912
2023-10-12-01,8.72,8.75,8.72,8.75,85.178
2023-10-12-02,8.75,8.75,8.7,8.74,24.246
2023-10-12-03,8.72,8.72,8.62,8.62,159.253
2023-10-12-04,8.6,8.64,8.6,8.64,573.116
2023-10-12-05,8.63,8.63,8.6,8.63,150.927
2023-10-12-06,8.64,8.64,8.63,8.64,150.124
2023-10-12-07,8.64,8.64,8.64,8.64,0.0
2023-10-12-08,8.65,8.66,8.62,8.62,25.867
2023-10-12-09,8.62,8.65,8.62,8.63,97.242
2023-10-12-10,8.6,8.62,8.56,8.59,248.91
2023-10-12-11,8.57,8.59,8.43,8.47,726.889
2023-10-12-12,8.48,8.56,8.47,8.5,4286.125
2023-10-12-13,8.49,8.53,8.48,8.53,130.987
2023-10-12-14,8.5,8.52,8.48,8.52,149.41
2023-10-12-15,8.52,8.52,8.46,8.48,667.201
2023-10-12-16,8.48,8.48,8.43,8.45,241.735
2023-10-12-17,8.45,8.51,8.45,8.51,406.66
2023-10-12-18,8.5,8.58,8.45,8.54,624.252
2023-10-12-19,8.56,8.58,8.52,8.58,1105.947
2023-10-12-20,8.6,8.6,8.56,8.56,212.098
2023-10-12-21,8.56,8.62,8.56,8.6,293.85
2023-10-12-22,8.6,8.64,8.6,8.64,381.396
2023-10-12-23,8.73,8.73,8.65,8.68,115.711
2023-10-13-00,8.68,8.68,8.68,8.68,0.0
2023-10-13-01,8.64,8.66,8.64,8.66,634.981
2023-10-13-02,8.69,8.71,8.69,8.71,88.697
2023-10-13-03,8.71,8.71,8.71,8.71,0.0
2023-10-13-04,8.67,8.67,8.64,8.64,214.454
2023-10-13-05,8.64,8.64,8.64,8.64,0.0
2023-10-13-06,8.67,8.67,8.66,8.66,349.822
2023-10-13-07,8.66,8.67,8.65,8.67,30.047
2023-10-13-08,8.65,8.68,8.64,8.68,62.885
2023-10-13-09,8.68,8.72,8.68,8.69,521.98
2023-10-13-10,8.66,8.69,8.65,8.68,404.621
2023-10-13-11,8.68,8.69,8.66,8.66,73.647
2023-10-13-12,8.66,8.69,8.65,8.69,144.696
2023-10-13-13,8.69,8.7,8.67,8.67,537.785
2023-10-13-14,8.68,8.72,8.68,8.71,283.067
2023-10-13-15,8.72,8.74,8.7,8.7,1125.034
2023-10-13-16,8.69,8.71,8.65,8.65,872.148
2023-10-13-17,8.66,8.66,8.6,8.63,603.205
2023-10-13-18,8.62,8.71,8.62,8.71,297.92
2023-10-13-19,8.68,8.7,8.67,8.7,50.743
2023-10-13-20,8.71,8.73,8.7,8.73,137.717
2023-10-13-21,8.73,8.75,8.7,8.7,672.393
2023-10-13-22,8.71,8.83,8.71,8.81,1775.409
2023-10-13-23,8.88,8.88,8.81,8.81,174.689
2023-10-14-00,8.82,8.82,8.73,8.73,400.694
2023-10-14-01,8.72,8.72,8.7,8.7,218.114
2023-10-14-02,8.73,8.74,8.71,8.73,171.374
2023-10-14-03,8.73,8.73,8.7,8.73,180.04
2023-10-14-04,8.73,8.73,8.73,8.73,0.0
2023-10-14-05,8.77,8.79,8.77,8.79,20.502
2023-10-14-06,8.78,8.8,8.77,8.77,12.637
2023-10-14-07,8.77,8.77,8.73,8.75,51.036
2023-10-14-08,8.73,8.73,8.7,8.7,19.297
2023-10-14-09,8.73,8.76,8.72,8.76,231.241
2023-10-14-10,8.76,8.77,8.76,8.77,38.635
2023-10-14-11,8.78,8.79,8.75,8.77,206.522
2023-10-14-12,8.76,8.78,8.75,8.75,756.669
2023-10-14-13,8.77,8.78,8.72,8.72,30.329
2023-10-14-14,8.74,8.74,8.72,8.73,152.774
2023-10-14-15,8.72,8.73,8.72,8.73,37.56
2023-10-14-16,8.73,8.74,8.72,8.72,10.417
2023-10-14-17,8.74,8.78,8.72,8.78,116.83
2023-10-14-18,8.78,8.8,8.75,8.76,684.834
2023-10-14-19,8.77,8.78,8.75,8.77,291.649
2023-10-14-20,8.77,8.77,8.77,8.77,0.0
2023-10-14-21,8.74,8.74,8.72,8.73,303.782
2023-10-14-22,8.73,8.75,8.73,8.75,85.253
2023-10-14-23,8.76,8.76,8.72,8.73,157.246
2023-10-15-00,8.69,8.72,8.69,8.72,170.498
2023-10-15-01,8.72,8.72,8.69,8.69,114.68
2023-10-15-02,8.7,8.73,8.7,8.72,290.452
2023-10-15-03,8.75,8.79,8.75,8.79,94.557
2023-10-15-04,8.75,8.78,8.75,8.78,1349.986
2023-10-15-05,8.77,8.77,8.72,8.72,91.097
2023-10-15-06,8.72,8.72,8.72,8.72,0.0
2023-10-15-07,8.72,8.72,8.7,8.7,240.073
2023-10-15-08,8.73,8.73,8.72,8.72,23.234
2023-10-15-09,8.72,8.73,8.72,8.73,118.73
2023-10-15-10,8.73,8.75,8.72,8.74,419.297
2023-10-15-11,8.73,8.78,8.7,8.7,523.252
2023-10-15-12,8.71,8.72,8.69,8.69,58.789
2023-10-15-13,8.69,8.69,8.67,8.67,915.677
2023-10-15-14,8.67,8.69,8.65,8.65,740.901
