2023-04-27-09,19.56,19.69,19.52,19.61,2557.133
2023-04-27-10,19.6,19.68,19.5,19.54,1056.641
2023-04-27-11,19.56,19.65,19.51,19.56,426.384
2023-04-27-12,19.56,19.64,19.56,19.6,158.102
2023-04-27-13,19.59,19.69,19.57,19.65,722.343
2023-04-27-14,19.68,19.7,19.37,19.56,1760.177
2023-04-27-15,19.58,19.71,19.57,19.71,691.168
2023-04-27-16,19.74,19.87,19.7,19.84,1654.348
2023-04-27-17,19.89,20.35,19.89,20.23,4270.514
2023-04-27-18,20.25,20.37,20.02,20.06,2806.403
2023-04-27-19,20.07,20.28,20.01,20.22,1138.14
2023-04-27-20,20.21,20.41,20.21,20.27,1405.741
2023-04-27-21,20.27,20.35,20.07,20.24,1279.276
2023-04-27-22,20.36,20.41,20.24,20.33,1673.618
2023-04-27-23,20.31,20.39,20.2,20.23,1732.894
2023-04-28-00,20.23,20.31,20.08,20.18,1637.554
2023-04-28-01,20.22,20.27,20.18,20.27,781.188
2023-04-28-02,20.27,20.39,20.15,20.39,1503.938
2023-04-28-03,20.38,20.55,20.24,20.24,1790.246
2023-04-28-04,20.21,20.22,20.17,20.22,746.431
2023-04-28-05,20.24,20.28,20.15,20.28,351.219
2023-04-28-06,20.28,20.37,20.28,20.35,18.585
2023-04-28-07,20.32,20.36,20.29,20.29,1087.271
2023-04-28-08,20.29,20.39,20.29,20.31,1093.449
2023-04-28-09,20.4,20.58,20.38,20.53,3934.091
2023-04-28-10,20.54,20.56,20.35,20.42,1109.035
2023-04-28-11,20.41,20.51,20.38,20.4,560.233
2023-04-28-12,20.39,20.81,20.39,20.68,5785.667
2023-04-28-13,20.7,20.71,20.46,20.49,1783.675
2023-04-28-14,20.49,20.73,20.45,20.52,2369.013
2023-04-28-15,20.55,20.58,20.2,20.35,3502.596
2023-04-28-16,20.34,20.49,20.14,20.19,5668.909
2023-04-28-17,20.15,20.34,20.1,20.34,6879.131
2023-04-28-18,20.37,20.9,20.37,20.89,4278.993
2023-04-28-19,20.9,21.17,20.66,21.05,9804.51
2023-04-28-20,21.04,21.16,20.95,21.16,8781.557
