2022-01-14-20,79.05,79.42,79.0,79.31,101.74736901
2022-01-14-21,79.28,79.45,78.63,78.63,87.20757356
2022-01-14-22,78.55,79.02,78.55,78.93,269.90201064
2022-01-14-23,79.22,79.22,78.93,79.21,453.28561469
2022-01-15-00,79.19,79.35,78.83,79.19,138.56859227
2022-01-15-01,79.39,79.51,78.96,79.51,98.33563578
2022-01-15-02,79.55,79.98,79.55,79.55,136.42230618
2022-01-15-03,80.08,80.53,80.08,80.13,70.80029
2022-01-15-04,80.25,80.25,79.7,79.89,550.33192447
2022-01-15-05,79.89,79.95,79.44,79.65,923.15350587
2022-01-15-06,79.61,79.61,79.4,79.4,475.42275113
2022-01-15-07,79.15,79.52,79.15,79.52,377.1741344
2022-01-15-08,79.17,79.39,79.1,79.29,531.83042654
2022-01-15-09,79.47,79.47,79.07,79.08,82.86451555
2022-01-15-10,79.15,79.21,79.04,79.08,126.43350726
2022-01-15-11,79.22,79.53,79.22,79.28,101.27907465
2022-01-15-12,79.43,79.76,79.4,79.53,139.18335076
2022-01-15-13,79.52,79.67,78.85,78.97,252.54138881
2022-01-15-14,79.18,79.65,79.06,79.65,93.04135
2022-01-15-15,79.97,81.1,79.84,80.76,887.92004651
2022-01-15-16,80.79,81.18,80.45,81.18,158.74360252
2022-01-15-17,81.64,81.7,81.4,81.68,457.37679301
2022-01-15-18,81.83,81.83,81.19,81.47,28.13241408
2022-01-15-19,81.34,82.01,81.34,81.99,185.39070485
2022-01-15-20,81.9,82.54,81.9,82.54,270.85009763
2022-01-15-21,82.66,82.88,81.77,81.77,478.42780302
2022-01-15-22,81.91,81.97,81.59,81.61,296.03945398
2022-01-15-23,81.62,81.95,81.62,81.86,89.39641958
2022-01-16-00,81.95,82.25,81.84,81.86,96.05961453
2022-01-16-01,81.61,82.04,81.48,82.04,78.63089907
2022-01-16-02,81.96,82.0,81.85,81.85,12.37763432
2022-01-16-03,81.79,81.93,80.92,80.92,285.27322555
2022-01-16-04,80.94,81.2,80.81,81.1,404.61196111
2022-01-16-05,81.07,81.08,80.99,80.99,31.97483178
2022-01-16-06,81.17,81.17,80.75,80.75,43.23006573
2022-01-16-07,80.87,81.36,80.87,81.36,218.50026388
2022-01-16-08,81.61,82.5,81.61,81.93,24.53639
2022-01-16-09,82.22,82.57,81.91,81.91,49.98502833
2022-01-16-10,81.9,82.2,81.9,82.04,86.55526462
2022-01-16-11,82.05,82.38,81.5,81.5,121.6428309
2022-01-16-12,81.24,81.94,81.24,81.89,29.00854637
2022-01-16-13,81.89,82.49,81.89,82.48,30.67496783
2022-01-16-14,82.72,82.72,81.51,81.95,23.19644798
2022-01-16-15,82.35,83.04,82.08,82.84,174.0473294
2022-01-16-16,82.76,82.76,82.13,82.26,1258.25664067
2022-01-16-17,82.38,82.68,82.2,82.38,508.52319379
2022-01-16-18,82.08,82.24,81.5,81.5,379.40032987
2022-01-16-19,81.86,81.89,81.66,81.89,353.9082252
2022-01-16-20,81.61,81.61,80.91,81.0,1092.67830578
2022-01-16-21,81.05,81.46,80.82,81.3,157.02737972
