2017-07-02-01,36.88,37.36,36.62,37.08,253.51
2017-07-02-02,37.08,37.18,36.56,36.58,487.97
2017-07-02-03,36.58,37.22,36.56,37.15,456.65
2017-07-02-04,37.15,37.15,36.45,36.78,1650.05
2017-07-02-05,36.78,37.8,36.78,37.62,438.68
2017-07-02-06,37.62,37.7,37.37,37.66,566.69
2017-07-02-07,37.66,38.36,37.52,38.36,701.25
2017-07-02-08,38.36,38.69,38.3,38.52,563.79
2017-07-02-09,38.52,38.85,38.19,38.85,117.25
2017-07-02-10,38.85,38.85,38,38.37,213.57
2017-07-02-11,38.37,38.37,38,38.3,159.9
2017-07-02-12,38.3,38.8,38.26,38.4,407.92
2017-07-02-13,38.4,38.97,38.19,38.28,2372.71
2017-07-02-14,38.28,38.9,38,38.3,1423.63
2017-07-02-15,38.3,39,38,39,1895.13
2017-07-02-16,39,40,38.84,39.74,3215.26
2017-07-02-17,39.74,40.38,39.5,39.89,2181.74
2017-07-02-18,39.89,40.93,39.74,40.31,1152.82
2017-07-02-19,40.31,40.92,40.28,40.92,1291.42
2017-07-02-20,40.92,41.87,40.81,41.34,3279.77
2017-07-02-21,41.34,42,40.87,41.8,3050.85
2017-07-02-22,41.8,42,41.07,41.07,2021.19
2017-07-02-23,41.07,41.88,40.85,41.5,902.29
2017-07-03-00,41.5,41.5,40.48,41,387.13
2017-07-03-01,41,41.44,40.66,40.88,1619.75
2017-07-03-02,40.88,41.31,40.69,40.69,239.48
2017-07-03-03,40.69,41.44,40.61,41.44,5892.04
2017-07-03-04,41.44,44.1,41.3,43.91,7448.22
2017-07-03-05,43.91,44.83,42.83,43.81,3043.35
2017-07-03-06,43.81,45.36,43.39,45,4162.65
2017-07-03-07,45,45.25,43.5,44.7,4465.25
2017-07-03-08,44.7,44.7,43.61,43.61,2144.98
2017-07-03-09,43.61,43.83,43.03,43.61,607.06
2017-07-03-10,43.61,45.15,43.6,45.15,3642.84
2017-07-03-11,45.15,46,44.93,45.93,4340.25
2017-07-03-12,45.93,46.1,45.11,45.81,2216.35
2017-07-03-13,45.81,46.86,45.8,46.86,8257.2
2017-07-03-14,46.86,47.7,45.27,46.03,6229.81
2017-07-03-15,46.03,47,45.8,47,1743.08
2017-07-03-16,47,47.6,46.45,47.15,3671.34
2017-07-03-17,47.15,47.15,46.1,46.74,2606.97
2017-07-03-18,46.74,46.78,45.6,45.6,1850.01
2017-07-03-19,45.6,46.3,45.09,46.08,2730.35
2017-07-03-20,46.08,46.68,45.81,46.66,1062.53
2017-07-03-21,46.66,46.8,46.21,46.47,6373.44
2017-07-03-22,46.47,47.34,46.05,46.2,8427.67
2017-07-03-23,46.2,46.2,45.41,45.44,3672.01
