2020-07-03-02,0.8915,0.8922,0.891,0.8913,43751.79125687
2020-07-03-03,0.891,0.8916,0.8903,0.8904,18139.79177768
2020-07-03-04,0.8905,0.8908,0.8901,0.8907,9430.63501129
2020-07-03-05,0.8904,0.8907,0.8897,0.8901,43411.56606025
2020-07-03-06,0.8906,0.8919,0.8901,0.8911,26882.12482761
2020-07-03-07,0.8915,0.892,0.8911,0.8915,49866.14654461
2020-07-03-08,0.892,0.8937,0.891,0.8919,139708.62004512
2020-07-03-09,0.8918,0.8927,0.8914,0.8918,151891.37059549
2020-07-03-10,0.892,0.8929,0.8917,0.892,168630.26670418
2020-07-03-11,0.8925,0.8937,0.892,0.8931,192480.78119799
2020-07-03-12,0.8932,0.8937,0.8924,0.8924,130553.19864401
2020-07-03-13,0.8924,0.8929,0.8917,0.8925,77379.85658396
2020-07-03-14,0.8925,0.8933,0.892,0.8925,227731.23419871
2020-07-03-15,0.8924,0.8928,0.8915,0.8917,264766.06355201
2020-07-03-16,0.8922,0.8931,0.891,0.8914,856316.25557177
2020-07-03-17,0.891,0.8918,0.89,0.8912,193386.98428842
2020-07-03-18,0.8912,0.892,0.8912,0.8917,65659.34542199
2020-07-03-19,0.8917,0.8921,0.8909,0.8909,71278.4875311
2020-07-03-20,0.8913,0.892,0.8905,0.8912,68059.56076196
2020-07-03-21,0.8911,0.8916,0.8906,0.8909,30836.86384735
2020-07-03-22,0.8913,0.8916,0.8901,0.8908,46148.45214901
2020-07-03-23,0.8907,0.8924,0.8906,0.8909,103320.78521714
2020-07-04-00,0.8912,0.8916,0.8904,0.8913,56626.17613604
2020-07-04-01,0.8914,0.8915,0.8907,0.8909,44103.83118269
2020-07-04-02,0.8905,0.891,0.8903,0.8904,14903.13010062
2020-07-04-03,0.8907,0.8909,0.8901,0.8907,1022.58629073
2020-07-04-04,0.8903,0.8908,0.8897,0.8904,48988.9505104
2020-07-04-05,0.8904,0.8909,0.8899,0.8904,7542.71648923
2020-07-04-06,0.8909,0.8909,0.8899,0.89,5054.243696
2020-07-04-07,0.89,0.8905,0.8897,0.8904,33783.05198827
2020-07-04-08,0.8904,0.8905,0.8899,0.8902,7924.23221468
2020-07-04-09,0.8902,0.8902,0.8886,0.8893,38662.40597889
2020-07-04-10,0.8894,0.8897,0.889,0.8897,18340.2246025
2020-07-04-11,0.8897,0.8918,0.889,0.8904,113908.38632656
2020-07-04-12,0.8898,0.891,0.8896,0.8905,99628.9379876
2020-07-04-13,0.8905,0.8906,0.8895,0.8902,30292.17094692
2020-07-04-14,0.8906,0.8908,0.8896,0.8903,25178.30321749
2020-07-04-15,0.8903,0.8903,0.8897,0.8902,11213.1260043
2020-07-04-16,0.8897,0.8902,0.8894,0.8894,43897.86056165
2020-07-04-17,0.8894,0.8902,0.8892,0.8892,39567.18921231
2020-07-04-18,0.8892,0.8911,0.8891,0.8896,87095.26187124
2020-07-04-19,0.8896,0.89,0.8883,0.8889,127147.62884428
2020-07-04-20,0.8889,0.8897,0.8888,0.8892,30471.83792455
2020-07-04-21,0.8892,0.8895,0.889,0.8895,14196.06328428
2020-07-04-22,0.8894,0.8896,0.8887,0.889,16029.92255143
2020-07-04-23,0.8895,0.8896,0.8888,0.8891,16385.82095303
2020-07-05-00,0.8891,0.8899,0.889,0.8892,7109.09862012
