2021-05-13-01,0.7839,0.8755,0.75,0.775,45571.31316974
2021-05-13-02,0.7755,0.99,0.75,0.8769,91567.46464683
2021-05-13-03,0.8769,0.8769,0.8421,0.8605,44329.23610159
2021-05-13-04,0.8642,0.8649,0.8475,0.8575,50470.51487755
2021-05-13-05,0.8575,0.8617,0.8444,0.8502,27473.64078089
2021-05-13-06,0.8574,0.9565,0.8451,0.893,30619.30755031
2021-05-13-07,0.8929,0.8967,0.8478,0.8521,17913.93003801
2021-05-13-08,0.8564,0.8564,0.8312,0.8312,36935.7034686
2021-05-13-09,0.8349,0.8428,0.81,0.8115,53977.98810009
2021-05-13-10,0.8115,0.8391,0.8115,0.8184,23380.26387785
2021-05-13-11,0.8167,0.8189,0.78,0.78,42958.35261047
2021-05-13-12,0.7811,0.8499,0.7811,0.7932,13310.46609427
2021-05-13-13,0.7923,0.8053,0.7852,0.7953,6022.60206935
2021-05-13-14,0.795,0.8001,0.7538,0.7745,58343.56002748
2021-05-13-15,0.7742,0.7748,0.7522,0.761,34980.09129077
2021-05-13-16,0.7533,0.7742,0.75,0.7621,43303.99541991
2021-05-13-17,0.7621,0.7641,0.7058,0.7058,93404.99588922
2021-05-13-18,0.7095,0.7561,0.7,0.7144,110188.53080714
2021-05-13-19,0.7144,0.753,0.7,0.7153,44600.36577335
2021-05-13-20,0.7149,0.7186,0.7063,0.7063,22204.42140421
2021-05-13-21,0.712,0.7243,0.6882,0.6888,51796.75023904
2021-05-13-22,0.6946,0.7029,0.6888,0.6968,19571.27657058
2021-05-13-23,0.6968,0.6993,0.6866,0.6898,19999.61092361
2021-05-14-00,0.6889,0.6984,0.6073,0.668,44367.37732984
2021-05-14-01,0.6122,0.668,0.5247,0.5859,30600.45235762
2021-05-14-02,0.5859,0.6844,0.5648,0.6825,57964.96866429
2021-05-14-03,0.6815,0.6854,0.6784,0.6854,15213.69855335
2021-05-14-04,0.6823,0.6993,0.6823,0.6963,24208.20942674
2021-05-14-05,0.6941,0.6998,0.6819,0.6819,17002.85327978
2021-05-14-06,0.6819,0.6935,0.6819,0.6896,8041.26619525
2021-05-14-07,0.691,0.691,0.686,0.686,4559.83180206
2021-05-14-08,0.686,0.6899,0.6819,0.6819,6262.76504396
2021-05-14-09,0.6883,0.6941,0.6848,0.6926,14699.68937341
2021-05-14-10,0.6927,0.6945,0.6732,0.6816,24106.84854896
2021-05-14-11,0.6815,0.6902,0.6665,0.6684,48701.44451451
2021-05-14-12,0.6719,0.7773,0.6685,0.7708,161304.39033795
2021-05-14-13,0.7695,0.7695,0.75,0.7603,26681.48996903
2021-05-14-14,0.7626,0.7642,0.7438,0.7527,38389.44765607
2021-05-14-15,0.7522,0.7758,0.7518,0.7582,64838.38034376
2021-05-14-16,0.7582,0.7779,0.7582,0.7761,35789.07161597
2021-05-14-17,0.7761,0.794,0.7675,0.7919,47417.27459708
2021-05-14-18,0.792,0.7982,0.7833,0.7846,22988.72972279
2021-05-14-19,0.7846,0.7919,0.7783,0.7902,13427.55967974
2021-05-14-20,0.791,0.7918,0.7808,0.7859,22134.52905954
2021-05-14-21,0.7859,0.792,0.7776,0.7865,39628.04744975
2021-05-14-22,0.7874,0.7921,0.7747,0.7747,31405.26608395
2021-05-14-23,0.7747,0.7765,0.751,0.7563,67887.17761386
2021-05-15-00,0.7563,0.7903,0.7563,0.7865,37852.87581586
2021-05-15-01,0.7865,0.7906,0.7436,0.7436,84751.57643153
2021-05-15-02,0.7437,0.7615,0.7437,0.7566,21382.39220683
2021-05-15-03,0.7605,0.7622,0.6733,0.7545,24849.36993313
2021-05-15-04,0.7545,0.7681,0.7219,0.7619,26782.02004771
2021-05-15-05,0.7362,0.7759,0.7233,0.7527,6788.78933207
2021-05-15-06,0.7406,0.7638,0.7242,0.7263,6670.5306
2021-05-15-07,0.7263,0.7702,0.7259,0.7528,4543.00552501
2021-05-15-08,0.7483,0.7613,0.7301,0.7528,4155.1306091
2021-05-15-09,0.7521,0.7537,0.7295,0.73,2169.89406674
2021-05-15-10,0.7294,0.7468,0.7084,0.7305,7701.45326151
2021-05-15-11,0.7391,0.7402,0.7186,0.7391,1327.26748755
2021-05-15-12,0.7399,0.7399,0.7185,0.725,18331.59718353
2021-05-15-13,0.7201,0.7284,0.7089,0.7284,2429.36067184
2021-05-15-14,0.7223,0.7498,0.685,0.7357,14237.10350224
2021-05-15-15,0.7357,0.743,0.6404,0.6961,27595.76803113
2021-05-15-16,0.6977,0.7113,0.6735,0.7067,18256.24719036
2021-05-15-17,0.7,0.73,0.7,0.7,39447.34950092
2021-05-15-18,0.7,0.7,0.6277,0.6742,28970.77602829
2021-05-15-19,0.6742,0.693,0.643,0.6784,7838.73586439
2021-05-15-20,0.6783,0.7499,0.6783,0.7176,54348.80751453
2021-05-15-21,0.7176,0.7176,0.7039,0.7067,20137.2930226
2021-05-15-22,0.7092,0.7385,0.7061,0.7354,62040.25246996
2021-05-15-23,0.7381,0.74,0.727,0.7293,19270.04943036
2021-05-16-00,0.727,0.7288,0.727,0.7287,3484.47285179
2021-05-16-01,0.729,0.729,0.6918,0.7073,55163.01375065
2021-05-16-02,0.7045,0.7071,0.7037,0.7071,3975.00269168
2021-05-16-03,0.7046,0.7118,0.697,0.7008,5355.9554991
2021-05-16-04,0.704,0.7045,0.6925,0.6979,35447.91974746
2021-05-16-05,0.6959,0.6981,0.6926,0.6981,2653.2243
2021-05-16-06,0.6979,0.6979,0.6638,0.6863,38986.52373323
2021-05-16-07,0.6799,0.6857,0.6799,0.683,4819.17823515
2021-05-16-08,0.683,0.7049,0.683,0.7045,24044.3344157
2021-05-16-09,0.7055,0.7091,0.6979,0.6979,4766.3016
2021-05-16-10,0.6979,0.709,0.6857,0.7043,12380.66305758
2021-05-16-11,0.7056,0.7101,0.7056,0.71,498.66976192
2021-05-16-12,0.7063,0.7083,0.7034,0.7059,4249.80943712
2021-05-16-13,0.7034,0.7108,0.6855,0.6855,69110.34386639
2021-05-16-14,0.6855,0.6895,0.6855,0.6881,21781.57976973
2021-05-16-15,0.688,0.6912,0.6798,0.6853,18678.22344343
2021-05-16-16,0.6853,0.6891,0.6787,0.6807,2247.31091352
2021-05-16-17,0.688,0.6989,0.6671,0.6705,62379.1194587
2021-05-16-18,0.6681,0.6735,0.6601,0.6675,24658.04193116
2021-05-16-19,0.6675,0.726,0.6585,0.6675,18233.39775147
2021-05-16-20,0.6613,0.6672,0.65,0.661,36092.85687289
2021-05-16-21,0.6594,0.6604,0.5901,0.5901,58562.52646356
2021-05-16-22,0.5909,0.6254,0.55,0.6064,36470.03517971
2021-05-16-23,0.5999,0.6698,0.5871,0.6346,27961.04214346
2021-05-17-00,0.6299,0.6389,0.6,0.6098,15892.55848428
2021-05-17-01,0.6098,0.6297,0.6066,0.6076,13488.52346606
2021-05-17-02,0.6074,0.6491,0.6074,0.6491,7711.59221227
2021-05-17-03,0.644,0.644,0.5851,0.6066,17772.7639
2021-05-17-04,0.615,0.6304,0.5854,0.6003,4206.32043031
2021-05-17-05,0.5927,0.6145,0.5759,0.605,13041.20129448
2021-05-17-06,0.6,0.6176,0.586,0.613,25331.76929283
2021-05-17-07,0.6103,0.613,0.576,0.6098,18132.1969
2021-05-17-08,0.6051,0.6379,0.5948,0.5948,51090.0879992
2021-05-17-09,0.5999,0.648,0.5947,0.641,90760.1863858
2021-05-17-10,0.6399,0.6867,0.6315,0.6507,78766.44249441
2021-05-17-11,0.6569,0.7,0.6331,0.664,50396.96206948
2021-05-17-12,0.6603,0.6668,0.64,0.6469,39361.02152141
2021-05-17-13,0.6469,0.6612,0.6184,0.6497,20454.77054227
2021-05-17-14,0.6497,0.6564,0.6398,0.6398,10027.10602236
2021-05-17-15,0.6403,0.6732,0.6339,0.6501,58813.13355205
2021-05-17-16,0.6569,0.6658,0.643,0.651,12784.2583104
2021-05-17-17,0.6507,0.6921,0.6403,0.6532,37461.53259166
2021-05-17-18,0.6535,0.6614,0.632,0.6328,18457.82372698
2021-05-17-19,0.6323,0.6356,0.6262,0.6298,34994.14079509
2021-05-17-20,0.6304,0.635,0.61,0.61,12724.40081575
2021-05-17-21,0.6109,0.6471,0.61,0.6179,28110.94271663
2021-05-17-22,0.6229,0.6925,0.6229,0.6701,73224.30951666
2021-05-17-23,0.6705,0.6918,0.664,0.6705,89381.37417973
2021-05-18-00,0.6671,0.6734,0.6061,0.6429,23132.6693797
2021-05-18-01,0.643,0.6729,0.6327,0.6632,20110.56988414
2021-05-18-02,0.6569,0.6824,0.6388,0.6824,52277.65730531
2021-05-18-03,0.6824,0.6824,0.6332,0.645,3951.3478
2021-05-18-04,0.6455,0.6679,0.633,0.65,5283.01797458
2021-05-18-05,0.6511,0.669,0.6497,0.6607,6657.93101085
2021-05-18-06,0.663,0.6733,0.6607,0.6611,3047.24553855
2021-05-18-07,0.6608,0.6754,0.6608,0.6672,2033.38454164
2021-05-18-08,0.6705,0.695,0.6705,0.681,15787.7582022
2021-05-18-09,0.6839,0.7011,0.6811,0.6872,8427.13085638
2021-05-18-10,0.6857,0.7123,0.6857,0.7091,36369.95321325
2021-05-18-11,0.7091,0.7113,0.6873,0.6873,33019.06027348
2021-05-18-12,0.6909,0.7123,0.6909,0.7081,22980.36304131
2021-05-18-13,0.708,0.7204,0.704,0.7181,40543.81810789
2021-05-18-14,0.7181,0.72,0.7054,0.7081,27515.75786836
2021-05-18-15,0.708,0.708,0.6945,0.6961,16265.6934
2021-05-18-16,0.6977,0.6977,0.6857,0.686,18502.82238462
2021-05-18-17,0.6891,0.6978,0.688,0.6961,10912.91607103
2021-05-18-18,0.6966,0.6986,0.667,0.6878,51360.85790118
2021-05-18-19,0.6879,0.6934,0.6856,0.6892,12909.33248672
2021-05-18-20,0.6897,0.7008,0.6585,0.665,65204.58347424
2021-05-18-21,0.6651,0.6668,0.6559,0.664,19546.69461707
2021-05-18-22,0.664,0.7024,0.664,0.6869,103226.48082576
2021-05-18-23,0.6869,0.7553,0.6834,0.7052,87509.13181112
2021-05-19-00,0.7076,0.7076,0.6903,0.6931,20597.04408491
2021-05-19-01,0.6931,0.6965,0.6914,0.6948,3990.34929595
2021-05-19-02,0.6918,0.6918,0.6725,0.6831,30657.13797968
