2021-10-03-00,0.423,0.4245,0.4211,0.4214,9258.73575526
2021-10-03-01,0.4232,0.4238,0.4034,0.4083,20125.62009508
2021-10-03-02,0.4084,0.4115,0.3976,0.4016,13723.37359304
2021-10-03-03,0.4017,0.4082,0.4013,0.4082,5102.84604471
2021-10-03-04,0.4083,0.4116,0.4072,0.4089,3711.73567053
2021-10-03-05,0.409,0.4148,0.4072,0.4148,10716.2207011
2021-10-03-06,0.415,0.4151,0.4124,0.4124,2526.9983
2021-10-03-07,0.4125,0.4181,0.4125,0.4175,3231.20631203
2021-10-03-08,0.416,0.4171,0.413,0.4171,3746.64213518
2021-10-03-09,0.4169,0.4169,0.4114,0.4151,25706.5134
2021-10-03-10,0.4137,0.418,0.4136,0.4162,19486.66892626
2021-10-03-11,0.4153,0.4153,0.4072,0.41,5461.0892
2021-10-03-12,0.4118,0.4173,0.4103,0.4132,57342.41186491
2021-10-03-13,0.4138,0.4228,0.4126,0.4194,23270.41883169
2021-10-03-14,0.4181,0.419,0.4151,0.419,4416.67360551
2021-10-03-15,0.4172,0.4216,0.4172,0.4194,17924.37229732
2021-10-03-16,0.419,0.424,0.4164,0.4225,22626.31183918
2021-10-03-17,0.4225,0.4225,0.4145,0.4168,7041.48032401
2021-10-03-18,0.415,0.4157,0.4139,0.4147,4333.83723768
2021-10-03-19,0.4144,0.417,0.4094,0.4167,14668.58795813
2021-10-03-20,0.4171,0.42,0.4145,0.4175,17922.9071242
2021-10-03-21,0.4172,0.419,0.4168,0.4169,3337.45447866
2021-10-03-22,0.4181,0.4198,0.4137,0.4137,9443.53743468
2021-10-03-23,0.4133,0.4133,0.405,0.405,4937.20150601
2021-10-04-00,0.4072,0.412,0.4072,0.4109,1886.16369203
2021-10-04-01,0.4109,0.413,0.4092,0.4119,2739.28743144
2021-10-04-02,0.4117,0.4128,0.4055,0.4055,4219.29458893
2021-10-04-03,0.4052,0.4063,0.3989,0.4025,11338.2742
2021-10-04-04,0.403,0.403,0.3981,0.3981,1154.609
2021-10-04-05,0.398,0.398,0.3928,0.3957,2765.59735998
2021-10-04-06,0.3942,0.3989,0.3897,0.398,11402.27729885
2021-10-04-07,0.398,0.3993,0.3974,0.3974,3297.66764452
2021-10-04-08,0.3971,0.3978,0.3948,0.3978,1969.45917528
2021-10-04-09,0.3977,0.4019,0.3942,0.4019,10306.71292462
2021-10-04-10,0.402,0.4028,0.3968,0.3968,3198.9971
2021-10-04-11,0.397,0.4027,0.397,0.4027,4388.31030514
2021-10-04-12,0.4028,0.4033,0.3972,0.4006,2038.4138489
2021-10-04-13,0.3984,0.3984,0.3942,0.3974,5590.44073106
