2023-10-18-12,0.23,0.28,0.23,0.2699,206948.6924
2023-10-18-13,0.27,0.2718,0.2669,0.267,50630.9791
2023-10-18-14,0.2668,0.2696,0.2668,0.2685,24459.8714
2023-10-18-15,0.2685,0.269,0.2646,0.2647,16866.3734
2023-10-18-16,0.2651,0.2713,0.2613,0.2629,34999.6883
2023-10-18-17,0.2631,0.2635,0.2618,0.262,17228.0691
2023-10-18-18,0.2618,0.2638,0.2604,0.2621,13024.2309
2023-10-18-19,0.262,0.2653,0.2619,0.2645,2706.8506
2023-10-18-20,0.2634,0.2672,0.2619,0.2661,20994.4422
2023-10-18-21,0.2658,0.266,0.2627,0.2627,8384.9294
2023-10-18-22,0.2626,0.2663,0.2605,0.2634,23954.6685
2023-10-18-23,0.2635,0.2679,0.2609,0.261,61533.5775
2023-10-19-00,0.2623,0.265,0.2623,0.2645,6233.1002
2023-10-19-01,0.265,0.2656,0.2646,0.2651,7569.6094
2023-10-19-02,0.2651,0.2651,0.2621,0.2625,7511.3443
2023-10-19-03,0.2624,0.2624,0.2563,0.2563,11922.584
2023-10-19-04,0.2563,0.2568,0.251,0.2517,12255.6526
2023-10-19-05,0.2517,0.2545,0.25,0.2536,5501.7114
2023-10-19-06,0.2544,0.2544,0.2507,0.2515,17494.4172
2023-10-19-07,0.2524,0.2554,0.2524,0.2554,29943.0379
2023-10-19-08,0.2551,0.2601,0.2525,0.2543,88015.3655
2023-10-19-09,0.2555,0.2574,0.2516,0.2532,67836.5969
2023-10-19-10,0.2535,0.257,0.252,0.2539,6648.2781
2023-10-19-11,0.2545,0.2558,0.2516,0.2516,23715.3476
2023-10-19-12,0.2515,0.2564,0.2503,0.2548,25347.3456
2023-10-19-13,0.2548,0.2558,0.2519,0.2557,18139.8422
2023-10-19-14,0.2553,0.2555,0.2531,0.2531,666.3529
2023-10-19-15,0.2532,0.2557,0.2531,0.2557,2440.8288
2023-10-19-16,0.2563,0.2571,0.2556,0.2565,499.1904
2023-10-19-17,0.2571,0.2615,0.255,0.2578,30434.0528
2023-10-19-18,0.2572,0.2598,0.2568,0.2594,9513.1242
2023-10-19-19,0.2582,0.2596,0.257,0.2583,1025.2837
2023-10-19-20,0.2578,0.2578,0.2559,0.2564,1047.269
2023-10-19-21,0.2568,0.2568,0.2558,0.2558,5247.3321
2023-10-19-22,0.2561,0.2572,0.2554,0.2557,520.9194
2023-10-19-23,0.2572,0.2598,0.255,0.2554,38914.3611
2023-10-20-00,0.255,0.2616,0.255,0.2608,29380.6154
2023-10-20-01,0.2609,0.2612,0.2605,0.261,2854.8438
2023-10-20-02,0.261,0.2612,0.2593,0.2593,93.5575
2023-10-20-03,0.2587,0.2594,0.2574,0.2594,2656.2537
2023-10-20-04,0.2595,0.2685,0.2595,0.2685,9466.3239
2023-10-20-05,0.2687,0.2765,0.266,0.2708,29740.2649
2023-10-20-06,0.2715,0.2715,0.2651,0.2661,6262.2372
2023-10-20-07,0.2668,0.2668,0.2642,0.2655,704.4286
2023-10-20-08,0.2656,0.2759,0.2656,0.2722,9172.2002
2023-10-20-09,0.2721,0.2747,0.2718,0.2734,29091.8842
2023-10-20-10,0.272,0.2751,0.2704,0.274,5532.1943
2023-10-20-11,0.2736,0.2736,0.268,0.2689,7791.967
2023-10-20-12,0.2677,0.2684,0.265,0.265,5001.6266
2023-10-20-13,0.2651,0.2651,0.2611,0.2612,9947.0872
2023-10-20-14,0.2617,0.2621,0.2561,0.2561,11464.3379
2023-10-20-15,0.2578,0.2612,0.2576,0.2612,3891.2681
2023-10-20-16,0.2612,0.2612,0.2595,0.2599,626.1082
2023-10-20-17,0.2605,0.2605,0.2585,0.2585,1081.0781
2023-10-20-18,0.2583,0.26,0.2583,0.2594,1437.803
2023-10-20-19,0.2594,0.26,0.2594,0.26,20.5606
2023-10-20-20,0.2608,0.2616,0.2602,0.2616,3030.5268
2023-10-20-21,0.2623,0.264,0.2623,0.264,97.3108
2023-10-20-22,0.2636,0.2643,0.2635,0.2643,1174.4476
2023-10-20-23,0.2643,0.265,0.2607,0.2611,3732.7826
2023-10-21-00,0.2614,0.263,0.2614,0.263,35.2555
2023-10-21-01,0.2638,0.264,0.2614,0.2614,2403.1327
2023-10-21-02,0.2612,0.263,0.2609,0.263,272.9438
2023-10-21-03,0.2638,0.264,0.2638,0.264,193.9729
2023-10-21-04,0.2643,0.2643,0.2623,0.2623,4319.5301
2023-10-21-05,0.2616,0.2617,0.2608,0.2617,90.7293
2023-10-21-06,0.2617,0.2617,0.2617,0.2617,0.0
2023-10-21-07,0.2608,0.2617,0.2606,0.2617,360.8353
2023-10-21-08,0.2622,0.2668,0.2622,0.2668,2342.6639
2023-10-21-09,0.267,0.2688,0.267,0.2688,66.1659
2023-10-21-10,0.2679,0.2679,0.2672,0.2676,612.2266
2023-10-21-11,0.2676,0.2676,0.2638,0.2638,1662.0075
2023-10-21-12,0.2644,0.2652,0.264,0.264,3601.787
2023-10-21-13,0.263,0.2675,0.2627,0.2675,1884.5848
2023-10-21-14,0.2675,0.2689,0.2653,0.2663,21202.1489
2023-10-21-15,0.2668,0.2707,0.2668,0.2707,133.5474
2023-10-21-16,0.2708,0.288,0.2708,0.2739,9032.4668
2023-10-21-17,0.274,0.2763,0.274,0.2754,5494.6978
2023-10-21-18,0.276,0.276,0.2722,0.2743,2745.1762
2023-10-21-19,0.2734,0.281,0.2734,0.281,1976.4915
2023-10-21-20,0.281,0.281,0.2783,0.2798,29771.9883
2023-10-21-21,0.2788,0.2788,0.2758,0.2758,3037.4366
2023-10-21-22,0.2756,0.2756,0.2722,0.2736,4061.2741
2023-10-21-23,0.272,0.272,0.2704,0.2704,79.9627
2023-10-22-00,0.272,0.275,0.272,0.2746,3020.5754
2023-10-22-01,0.275,0.2751,0.2741,0.2744,2210.9648
2023-10-22-02,0.274,0.274,0.272,0.272,58.9222
2023-10-22-03,0.2713,0.2713,0.2673,0.2673,2255.7584
2023-10-22-04,0.2685,0.269,0.268,0.2684,2476.0754
2023-10-22-05,0.2675,0.2675,0.2668,0.2668,310.9562
2023-10-22-06,0.2665,0.2688,0.2665,0.2688,20.7126
2023-10-22-07,0.269,0.2743,0.269,0.272,330.8281
2023-10-22-08,0.2735,0.2736,0.2735,0.2736,11.0886
2023-10-22-09,0.273,0.273,0.2688,0.2688,4557.4024
2023-10-22-10,0.2683,0.2684,0.2609,0.2609,13137.6832
2023-10-22-11,0.2612,0.2645,0.2608,0.2645,9324.855
2023-10-22-12,0.2639,0.2639,0.2618,0.2618,890.6351
2023-10-22-13,0.2621,0.2632,0.2585,0.2585,9327.9045
2023-10-22-14,0.2585,0.2615,0.2585,0.2615,1613.0804
2023-10-22-15,0.2623,0.2623,0.2613,0.2623,495.7917
2023-10-22-16,0.2624,0.263,0.2612,0.2612,9380.1089
2023-10-22-17,0.2617,0.2624,0.2608,0.2608,3311.0772
2023-10-22-18,0.2615,0.2615,0.2602,0.2602,724.6462
2023-10-22-19,0.2606,0.2635,0.2606,0.2623,82.4719
2023-10-22-20,0.2623,0.265,0.2623,0.2645,265.6405
2023-10-22-21,0.2649,0.266,0.2645,0.2645,5598.8986
2023-10-22-22,0.2645,0.2645,0.2645,0.2645,15.0
2023-10-22-23,0.2647,0.2647,0.2647,0.2647,27.5374
2023-10-23-00,0.266,0.2672,0.266,0.2672,36.9443
2023-10-23-01,0.2667,0.2676,0.2656,0.2676,343.874
2023-10-23-02,0.2683,0.2728,0.2683,0.2683,2034.1576
2023-10-23-03,0.2676,0.2676,0.2672,0.2672,12.3193
2023-10-23-04,0.2672,0.2676,0.2659,0.2676,77.8447
2023-10-23-05,0.2683,0.2692,0.2683,0.2692,16.2962
2023-10-23-06,0.2691,0.2708,0.2672,0.2708,586.5202
