2021-05-29-09,6.8594,6.9701,6.751,6.7564,48654.0943199
2021-05-29-10,6.7506,6.8205,6.624,6.643,75461.70608723
2021-05-29-11,6.6335,6.7015,6.4864,6.6517,80016.45619934
2021-05-29-12,6.6344,6.6665,6.5355,6.5955,45455.85998697
2021-05-29-13,6.594,6.6255,6.3817,6.6242,62992.32463043
2021-05-29-14,6.5989,6.5989,6.3118,6.3841,92967.6987135
2021-05-29-15,6.3717,6.4524,6.1389,6.3312,73967.13718765
2021-05-29-16,6.3134,6.4137,6.2072,6.2816,103817.46035357
2021-05-29-17,6.2914,6.2914,6.0156,6.146,150741.75207294
2021-05-29-18,6.1486,6.376,6.0304,6.3249,105635.0313949
2021-05-29-19,6.3166,6.3166,5.9602,6.0347,85607.1839738
2021-05-29-20,6.0226,6.29,5.9048,6.2612,123535.53663796
2021-05-29-21,6.26,6.271,5.9879,6.1532,51040.07317523
2021-05-29-22,6.1586,6.254,6.0236,6.1904,54019.38092993
2021-05-29-23,6.19,6.35,6.1284,6.3361,39458.53195447
2021-05-30-00,6.321,6.3709,6.1778,6.2798,89084.30933107
2021-05-30-01,6.268,6.4375,6.1765,6.3357,74153.40334399
2021-05-30-02,6.3361,6.3464,5.913,6.0438,141236.88098227
2021-05-30-03,6.0423,6.1015,5.9272,6.0736,39393.58283286
2021-05-30-04,6.0657,6.2551,6.0196,6.2551,38673.71066066
2021-05-30-05,6.2558,6.3868,6.2368,6.344,71324.61161216
2021-05-30-06,6.3574,6.4908,6.2884,6.3825,50730.05056796
2021-05-30-07,6.3846,6.7001,6.3846,6.5423,99782.96689241
2021-05-30-08,6.5408,6.6996,6.5234,6.6386,52607.10034945
2021-05-30-09,6.6546,6.7994,6.5789,6.767,22881.64267862
2021-05-30-10,6.7849,6.8268,6.6097,6.7044,24302.53104794
2021-05-30-11,6.7043,6.8359,6.5905,6.6073,35316.60040298
2021-05-30-12,6.6265,6.7053,6.5702,6.5702,20497.22867249
2021-05-30-13,6.5733,6.8099,6.5733,6.7856,29581.70715866
2021-05-30-14,6.7826,6.8125,6.476,6.5298,30958.69149012
2021-05-30-15,6.5192,6.6463,6.4462,6.4952,44891.25769246
2021-05-30-16,6.4833,6.499,6.2641,6.3296,97919.21659017
2021-05-30-17,6.3547,6.4505,6.296,6.427,39213.32499597
2021-05-30-18,6.4294,6.5241,6.3486,6.5158,60179.65725911
2021-05-30-19,6.5184,6.66,6.5184,6.6185,49672.60928003
2021-05-30-20,6.6138,6.763,6.6025,6.6908,106704.4956745
2021-05-30-21,6.6919,6.7638,6.6737,6.678,76267.04438924
2021-05-30-22,6.6778,6.7102,6.594,6.6706,64199.59505411
2021-05-30-23,6.6688,6.757,6.5912,6.6499,171109.56017313
2021-05-31-00,6.6356,6.653,6.5,6.55,57328.25566175
2021-05-31-01,6.55,6.5812,6.4674,6.5156,61129.71362888
2021-05-31-02,6.5158,6.6983,6.3748,6.3909,101813.19428455
2021-05-31-03,6.3906,6.444,6.1739,6.1836,109327.42809347
2021-05-31-04,6.176,6.2227,6.051,6.1347,93857.9217999
2021-05-31-05,6.1386,6.1601,6.0427,6.1079,121404.22807251
2021-05-31-06,6.0985,6.1535,6.0616,6.1302,43106.77785108
2021-05-31-07,6.1125,6.2395,6.0903,6.2217,17857.61289037
2021-05-31-08,6.2133,6.435,6.2133,6.4028,96650.51375062
2021-05-31-09,6.3919,6.5114,6.3884,6.4191,60029.45824497
2021-05-31-10,6.4326,6.5628,6.337,6.5519,91226.67233982
2021-05-31-11,6.5529,6.5879,6.4512,6.4665,46867.56882443
